nohhold,nomem,weeknr,inkhh,inknorm,inkrond,finsitu,inkeven,inkaank,inksec,loan1,loan2,loan3,ink25a,ink25b,ink25c,ecsit,zinvol,opzij,hoevopzy,opzij12,spaarm01,spaarm02,spaarm03,spaarm04,spaarm05,spaarm06,spaarm07,spaarm08,spaarm09,spaarm10,spaarm11,spaarm12,spaarm13,spaarm14,spaarm15,spaarm16,spaar1,spaar2,spaar3,spaar4,spaar5,spaar6,beschryf,toek01,toek02,toek03,toek04,toek05,toek06,toek07,toek08,toek09,toek10,toek11,toek12,uitgeven,plannen,periode1,bijhoud,potjes,pin1,pin2,chip1,chip2,autom,foon,smart,intern,zon,her1,her2,her3,her4,baby,plan,uitspr,hhrela,beslis,geldh,geluk,kenltd,kenhh,kenink,kenopl,kenwerk,manuur,vrouwuur,kunde,advies,con01,con02,con03,con04,con05,con06,con07,con08,con09,con10,work01,work02,work03,work04,work05,work06,work07,work08,work09,jeugd1,jeugd2,jeugd3,jeugd4,jeugd5,jeugd6,jeugd1_x,jeugd2_x,jeugd3_x,jeugd4_x,jeugd5_x,jeugd6_x,toek01_x,toek02_x,toek03_x,toek04_x,toek05_x,toek06_x,toek07_x,toek08_x,toek09_x,toek10_x,toek11_x,toek12_x
12937,2,201208,5,2,3,2,1,2, ,2,2,2,2,2, ,3,2,1,2,2,5,5,5,5,5,5,4,5,5,5,5,1,5,5,5,5,7,7,3,4,2,2,1, , , , , , , , , , , , ,6,3,3,3,1,1,4,1,2,1,5,1,5,75,0,0,0,50,1,3,3,2,3,1,2,9,2,9,6,4,38,30,2,6,2,3,3,2,5,4,3,4,3,3,6,6,6,6,5,5,3,7,6, , , , , , ,4,5,1,4,4,4,3,4,5,4,4,4,4,4,5,5,5,4
12940,2,201208,4,2,4,4,3, , ,-7,-9,2,4,2, ,2,1,1,2,1,1,4,1,7,7,1,1,7,1,7,1,1,1,7,7,7,1,1,1,1,1,1,-7, , , , , , , , , , , , ,4,1,3,3,2,1,4,1,1,3,1,1,3,50,100,0,0,100,1,1,3,2,3,1,2,8,4,-9,6,4,36,28,2,1,3,2,1,1,2,4,1,3,1,2,7,7,7,7,7,7,3,7,7, , , , , , ,4,5,2,2,1,1,7,7,7,7,7,7,7,7,7,7,7,7
12949,1,201208,5,2,4,4,3, , ,1,2,2,3,2, ,3,2,1,2,2,2,3,7,5,6,5,3,7,2,6,7,1,2,6,3,6,6,5,3,5,4,3,-7, , , , , , , , , , , , ,5,3,2,4,1,1,4,1,1,1,1,1,5,80,90,50,5,90,1,1,3,2,4,1,2,9,3,9,7,4,40,20,2,8,3,2,3,1,3,4,2,4,2,4,4,6,6,4,6,6,3,6,4, , , , , , ,3,5,3,4,4,2,3,3,3,2,4,6,5,6,2,2,4,4
12958,1,201208,4,2,3,3,2, , ,1,1,2,3,2, ,3,2,2, ,2,-7,-7,4,6,6,4,2,6,-7,6,4,5,-7,6,5,4,5,5,4,5,5,2,2, , , , , , , , , , , , ,3,5,1,4,2,1,4,2, ,1,1,5,5,20,60,20,4,90,2, , , , , ,2,5,2,10,7,4,40,36,2,1,3,4,2,2,4,3,4,3,2,2,5,5,6,6,5,4,3,6,5, , , , , , ,1,2,3,2,2,2,5,5,3,4,4,4,4,5,3,4,3,4
12964,1,201208,4,2,2,1,2, , ,1,-9,2,4,2, ,4,-9,2, ,2,1,3,7,4,4,1,1,7,1,5,7,1,1,6,4,4,4,7,3,5,4,4,-7, , , , , , , , , , , , ,5,5,3,5,1,1,3,2, ,3,1,1,4,60,0,0,0,0,1,1,3,1,3,1,2,9,4,9,3,4,36,20,2,8,4,1,3,2,4,4,2,5,1,5,3,4,6,5,5,3,5,5,2, , , , , , ,1,2,4,2,2,1,4,2,6,6,5,2,2,3,5,4,5,5
12964,2,201208,4,2,2,3,2, , ,1,-9,2,3,2, ,-9,2,2, ,2,1,2,7,6,6,1,1,5,1,6,6,1,3,6,5,6,4,7,1,6,4,1,-7, , , , , , , , , , , , ,4,6,3,3,1,2, ,2, ,3,1,1,1,60,0,0,0,0,1,1,3,1,3,1,2,9,2,9,3,4,36,20,1,1,3,4,3,2,4,4,2,3,2,3,7,7,5,5,4,2,4,7,2, , , , , , ,2,4,3,4,3,3,4,3,5,5,3,3,3,3,5,6,6,4
12964,4,201237, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,7,1,7,3,3,-7,5,5,4,3,4,3,3,3,5,5,5,5,5,2,2,4,1,1,2,2, ,3,1,1,2,50,0,0,0,0,2, , ,1, , ,2,2,3,-9,4,5,0,0,2,1,3,3,3,2,4,4,3,3,2,4, , , , , , , , , ,1,2,4,3,4,4, , , , , , , , , , , , , , , , , , 
12966,2,201208,4,2,4,4,3, , ,-7,2,2,4,2, ,-9,1,1,2,1,2,6,5,6,6,4,2,6,2,6,5,-7,6,6,6,5,7,7,1,7,5,2,-7, , , , , , , , , , , , ,4,3,1,4,1,1,4,1,1,1,3,1,4,75,50,50,0,80,1,1,3,2,3,1,2,8,3,-9,3,4,38,20,2,6,3,4,2,1,4,4,2,3,1,4, , , , , , , , , , , , , , , ,4,5,1,2,1,2,4,4,4,5,5,5,5,4,2,2,2,3
12968,1,201241,5,2,3,3,2, , ,-7,1,2,3,2, ,3,1,1,2,2,1,5,3,5,5,1,1,5,1,6,3,1,5,6,5,4,7,7,1,7,1,2,1, , , , , , , , , , , , ,4,4,3,1,4,1,3,1,1,3,1,1,1,50,50,50,10,70,1,1,3,1,2,1,2,7,4,-9,6,4,36,24,1,1,2,4,3,1,3,3,3,2,2,3,6,6,4,5,3,1,3,6,2, , , , , , ,4,5,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4
12968,2,201220,6,2,4,3,2, , ,-7,2,2,3,2, ,3,1,1,1,2,1,4,4,4,4,1,2,5,1,6,5,1,5,5,4,4,7,7,1,6,1,1,1, , , , , , , , , , , , ,4,4,2,4,1,1,4,1,1,3,2,1,5,50,75,50,10,80,1,1,3,2,3,1,2,7,4,-9,6,4,36,24,2,6,4,1,1,1,4,4,1,4,1,4,7,7,6,6,6,2,4,7,6, , , , , , ,4,5,3,2,1,1,4,5,3,2,4,2,6,3,2,4,3,4
12983,1,201208,4,2,3,2,1,2, ,2,1,2,3,2, ,3,2,2, ,2,3,6,5,5,4,3,4,4,5,5,4,2,2,5,4,5,3,2,2,4,5,5,2, , , , , , , , , , , , ,4,3,2,2,1,1,2,1,2,1,1,1,4,10,90,60,5,100,1,1,3,1,3,1,2,8,3,8,3,4,40,30,2,1,4,1,2,2,4,4,2,4,2,5,6,6,4,5,4,3,3,5,5, , , , , , ,1,4,4,2,2,2,2,3,4,3,4,3,4,3,4,5,3,6
12983,2,201220,4,2,3,3,1,2, ,2,2,2,3,2, ,4,2,1,2,1,2,5,4,7,7,3,3,6,2,7,4,2,6,6,6,4,6,4,5,5,5,4,-7, , , , , , , , , , , , ,3,5,2,3,1,1,3,1,2,3,1,1,4,90,75,20,0,75,1,1,3,1,3,1,1,8,4,8,4,4,40,20,2,6,4,2,3,2,4,4,2,4,2,4,7,7,5,5,3,1,5,7,4, , , , , , ,1,5,5,2,3,3,3,3,6,4,3,3,2,2,5,3,6,5
12992,1,201208,4,2,4,4,3, , ,1,1,2,4,2, ,3,1,1,2,2,-7,-7,7,4,6,2,2,3,2,6,7,-7,1,6,6,4,7,6,4,6,1,2,-7, , , , , , , , , , , , ,6,2,4,4,2,1,4,2, ,1,1,1,5,50,25,0,0,100,2, , , , , ,2,10,3,9,7,4,32,28,2,2,4,4,4,1,4,5,3,4,1,4,7,5,4,7,4,1,6,4,2, , , , , , ,1,2,3,3,2,3,6,6,2,2,4,6,5,5,2,1,6,2
12997,2,201220,2,2,3,3,2, , ,-7,2,2,3,2, ,2,2,2, ,3,7,7,5,5,7,5,5,7,7,7,5,1,7,7,1,4,7,7,1,7,1,1,-7, , , , , , , , , , , , ,7,1,2,5,3,1,2,1,1,3,1,1,2,80,0,0,0,0,1,1,3, , , ,1,13,1,-9,5,1,0,0,2,3,5,1,5,1,5,5,4,5,1,5, , , , , , , , , , , , , , , ,4,5,1,4,1,1,5,4,4,7,7,5,7,4,4,4,4,4
13010,1,201208,4,1,5,5,3, , ,-7,3,2,4,2, ,2,1,1,2,1,5,6,6,6,6,3,4,5,4,6,6,2,5,6,5,3,5,5,1,5,4,3,3, , , , , , , , , , , , ,6,1,3,5,1,1,4,2, ,3,1,1,5,30,100,60,0,100,1,3,3,3,3,1,3,12,2,8,5,1,36,28,3,8,2,3,2,1,5,4,3,3,1,3, , , , , , , , , , , , , , , ,4,5,1,3,4,1,6,5,2,2,4,3,6,4,3,4,4,5
13013,1,201220,4,2,3,3,2, , ,2,3,2,3,2, ,-9,1,2, ,2,1,5,6,6,4,4,5,5,1,7,6,4,6,7,5,5,5,3,3,5,3,3,2, , , , , , , , , , , , ,3,3,3,3,1,1,4,1,1,1,1,1,5,50,50,25,5,80,1,1,3,1,5,7,2,6,3,-9,5,4,36,20,2,8,2,4,2,2,4,5,3,4,1,3,3,3,4,5,6,3,5,4,2, , , , , , ,2,2,2,2,2,3,5,4,4,3,5,4,6,5,3,3,3,3
13016,1,201208,2,2,2,3,2, , ,-7,5,2,3,2, ,2,3,2, ,3,-7,-7,-7,-7,7,-7,-7,-7,-7,7,-7,-7,7,7,7,-7,7,7,1,7,1,1,-7, , , , , , , , , , , , ,6,5,1,3,1,1,3,2, ,2,1,1,1,1,0,0,0,0,1,1,5, , , ,2,13,1,-9,5,5,0,0,1,1,3,3,2,5,3,3,3,4,2,3, , , , , , , , , , , , , , , ,4,5,1,4,3,1,2,2,4,3,4,3,4,4,4,3,3,2
13027,1,201208,5,2,3,3,2, , ,2,2,2,2,2, ,2,3,2, ,3,3,6,6,5,5,1,4,5,3,5,-7,-7,5,5,5,6,4,2,2,5,4,3,2, , , , , , , , , , , , ,4,5,4,3,1,1,4,1,1,1,1,1,4,70,0,0,0,0,1,2,3,2,4,1,2,9,2,10,6,4,32,32,3,1,2,4,4,2,3,4,3,4,2,4,6,5,3,6,3,3,5,6,2, , , , , , ,4,5,2,3,3,2,6,5,2,3,4,3,5,5,2,4,3,3
13027,2,201208,5,2,3,3,1,2, ,2,3,2,3,2, ,3,-9,2, ,3,2,6,5,5,3,2,2,6,2,5,4,2,4,5,5,6,7,7,1,7,4,1,-7, , , , , , , , , , , , ,3,6,1,1,1,1,4,2, ,1,1,1,1,50,0,0,0,0,1,1,3,2,1,1,2,9,2,10,6,2,32,32,1,1,3,3,2,2,3,4,4,3,2,3,7,7,6,6,6,5,3,6,5, , , , , , ,3,3,5,2,2,2,4,2,5,6,4,2,4,3,5,5,5,5
13034,1,201208,3,2,4,5,3, , ,-7,1,2,4,2, ,3,1,1,3,1,1,-7,6,2,7,3,4,4,-7,5,4,4,3,5,4,6,5,6,1,3,3,2,1, , , , , , , , , , , , ,7,1,1,1,1,1,3,1,1,3,1,3,3,40,50,100,0,100,2, , , , , ,2,8,3,7,5,4,38,32,4,8,1,2,1,1,3,3,3,3,2,4,6,5,6,6,5,2,6,6,1, , , , , , ,4,5,1,4,4,3,3,4,4,2,4,4,3,2,4,5,4,3
13037,1,201208,4,2,4,4,3, , ,-7,1,2,3,2, ,2,1,1,2,1,5,4,7,7,7,-7,-7,7,5,7,7,-7,6,7,7,6,6,7,1,7,1,1,-7, , , , , , , , , , , , ,6,1,5,5,2,1,3,2, ,2,1,1,4,50,100,100,0,100,1,1,3,1,3,1,1,11,2,-9,3,5,0,0,3,8,4,2,3,1,4,5,2,3,1,4, , , , , , , , , , , , , , , ,1,2,1,4,4,3,6,5,2,2,4,4,7,6,2,1,2,1
13048,1,201220,5,2,4,4,3, , ,2,2,2,4,2, ,3,2,1,2,2,6,7,6,6,6,3,4,5,6,6,5,4,5,6,6,6,6,6,1,6,4,3,1, , , , , , , , , , , , ,6,2,3,3,1,1,4,2, ,1,1,1,5,50,50,30,0,80,1,2,2,2,3,1,2,10,2,8,6,4,40,20,2,2,4,2,3,1,4,4,2,4,1,4,7,7,5,6,5,2,4,7,4, , , , , , ,3,3,2,3,3,2,2,2,6,6,6,2,4,3,5,5,5,5
13048,2,201220,5,2,4,4,3, , ,-7,1,2,3,2, ,3,1,1,2,2,6,6,6,6,6,-7,6,6,6,6,6,-7,6,6,6,4,6,6,1,6,1,1,1, , , , , , , , , , , , ,6,2,2,4,1,1,4,1,1,1,1,1,5,50,100,100,0,100,1,2,3,1,3,1,2,10,2,10,5,4,40,20,3,8,5,1,4,1,4,4,1,4,1,5,1,1,7,6,5,7,1,4,1, , , , , , ,4,3,2,4,3,1,4,4,4,4,4,4,4,4,3,4,5,4
13054,1,201208,4,2,3,4,2, , ,2,2,2,3,2, ,3,1,1,2,1,4,5,6,6,5,4,4,6,4,5,6,1,5,6,5,6,1,7,1,7,2,7,-7, , , , , , , , , , , , ,5,3,2,3,1,1,4,1,2,1,1,1,4,40,100,60,0,100,1,1,3,1,2,1,2,7,3,9,4,4,40,20,1,6,2,4,3,2,4,4,3,3,2,2,7,3,6,5,4,2,6,5,5, , , , , , ,1,2,2,3,1,1,4,2,5,4,4,2,4,4,4,4,4,4
13057,1,201208,5,2,4,2,1,2, ,2,1,2,2,1,3,2,1,1,-9,2,1,1,5,5,5,1,1,5,1,6,6,1,1,6,6,6,6,6,2,6,5,3,2, , , , , , , , , , , , ,3,2,2,1,1,1,4,1,2,1,1,1,5,23,100,70,20,100,1,1,3,1,3,1,2,12,2,-9,7,5,0,0,2,3,3,4,1,3,3,4,4,4,2,3, , , , , , , , , , , , , , , ,4,5,1,2,1,1,2,3,3,4,5,3,6,4,2,3,4,4
13061,2,201208,4,2,3,3,2, , ,1,5,2,3,2, ,3,1,1,2,1,2,3,7,5,7,5,1,4,2,6,7,-7,4,7,4,5,7,7,1,5,1,1,-7, , , , , , , , , , , , ,7,2,3,3,1,1,4,1,1,3,1,1,5,85,85,25,0,30,1,1,3,1,3,1,2,7,4,-9,3,4,40,15,3,6,3,2,1,1,3,4,2,4,1,4,2,1,7,5,3,7,2,2,2, , , , , , ,1,3,3,3,3,2,3,3,3,2,2,4,3,3,1,1,2,4
13068,1,201208,2,2,2,3,2, , ,-7,5,2,3,2, ,2,2,1,2,3,4,3,5,5,6,2,4,5,3,5,5,2,4,5,5,5,5,6,1,5,2,2,-7, , , , , , , , , , , , ,6,1,3,5,1,1,3,2, ,1,1,1,1,30,30,0,0,50,1,1,3, , , ,3,8,4,8,4,4,36,36,2,3,2,4,3,3,3,3,3,3,2,3, , , , , , , , , , , , , , , ,2,1,2,2,4,4,4,3,4,3,3,3,1,2,2,3,2,2
13072,1,201208,1,2,2,3,1,2, ,2,5,2,3,2, ,1,3,2, ,3,1,2,4,4,4,1,1,2,1,4,3,1,3,4,3,2, , , , , , , , , , , , , , , , , , , ,4,5,2,4,3,1,2,1,1,3,2,1,4,50,5,1,0,1,1,1,5,2,4,8,3,11,2,7,5,4,36,32,3,8,3,3,3,1,2,3,2,4,2,3, , , , , , , , , , , , , , , ,2,2,2,3,3,2,4,4,4,4,4,4,4,4,4,4,4,4
13075,1,201208,5,2,5,5,3, , ,2,1,2,5,2, ,3,1,1,3,1,1,7,1,7,7,1,7,7,1,7,7,1,7,7,7,4,5,1,1,5,4,3,3, , , , , , , , , , , , ,6,1,4,4,1,1,4,1,3,3,1,1,4,50,100,100,0,100,1,3,3,2,3,1,2,11,2,9,3,5,0,0,3,8,1,1,1,1,2,3,3,3,1,3, , , , , , , , , , , , , , , ,3,2,4,3,2,4,4,3,5,5,4,4,5,6,3,5,3,4
13076,1,201208,5,2,4,4,3, , ,-7,1,2,4,1,5,3,1,1,3,1,3,6,6,6,6,5,2,7,3,5,5,1,4,5,6,5,4,2,3,4,4,5,3, , , , , , , , , , , , ,5,1,4,1,1,1,4,1,1,1,1,1,5,50,80,30,0,100,1,2,3,1,3,1,2,9,2,10,6,4,36,28,3,8,3,2,2,2,4,4,2,4,2,3,6,6,6,5,6,6,2,4,6, , , , , , ,4,5,2,1,3,1,6,6,3,4,4,4,5,3,4,3,4,2
13081,1,201220,4,2,4,4,1,1,3,2,1,2,5,2, ,5,1,1,2,3,7,7,7,7,7,7,5,7,7,7,7,4,7,7,7,7,6,3,1,6,6,6,-7, , , , , , , , , , , , ,6,2,3,5,1,1,4,1,1,1,1,1,5,70,100,40,0,100,2, , , , , ,1,6,4,7,6,4,40,20,2,8,3,1,2,1,5,5,1,4,1,5,7,7,7,7,7,1,1,7,7, , , , , , ,3,2,3,4,3,1,5,4,1,3,3,3,6,4,2,2,2,1
13086,1,201208,4,2,3,3,2, , ,1,2,2,3,2, ,4,1,2, ,2,4,6,5,6,7,3,3,6,3,7,5,3,5,7,4,3,7,7,5,6,4,2,2, , , , , , , , , , , , ,4,3,3,3,1,1,4,1,2,1,1,1,3,50,75,50,5,10,1,3,1,1, , ,1,8,3,8,5,4,40,20,2,1,3,3,4,1,2,4,1,4,1,4,7,7,7,6,7,4,2,7,6, , , , , , ,3,5,2,2,1,2,5,6,2,5,3,5,6,5,2,2,2,3
13092,1,201208,-9, ,3,3,2, , ,-7,-9,2,3,2, ,-9,-9,2, ,-9,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7, , , , , , , , , , , , , , , , , , , ,4,4,1,4,1,1,3,1,2,2,1,1,3,50,50,0,0,0,2, , ,2,3,1,2,11,2,-9,4,5,0,0,3,9,1,5,5,1,5,5,1,5,1,5, , , , , , , , , , , , , , , ,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
13092,2,201208,4,2,3,4,2, , ,2,3,2,3,1,3,-9,2,1,3,1,-7,-7,5,4,4,-7,-7,7,-7,4,4,5,5,4,5,4,7,7,1,7,4,3,-7, , , , , , , , , , , , ,4,4,2,5,2,1,4,1,3,3,1,1,4,50,100,100,0,100,2, , ,3,3,1,2,10,2,-9,3,4,0,0,3,3,1,5,3,2,4,4,2,3,2,4, , , , , , , , , , , , , , , ,3,3,3,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4
13095,1,201208,4,2,3,3,2, , ,2,2,2,3,2, ,-9,2,1,2,-9,2,4,3,4,4,3,1,5,2,5,4,1,2,5,5,3,7,7,1,7,2,2,1, , , , , , , , , , , , ,2,4,1,2,1,1,4,1,4,1,1,1,5,50,50,0,0,50,1,1,3,2,5,2,2,8,4,-9,4,4,36,20,2,4,5,1,3,1,4,4,1,4,1,5,5,5,5,5,4,3,4,6,2, , , , , , ,4,3,1,3,3,3,2,2,5,4,3,3,4,2,3,5,5,5
13107,1,201208,4,2,4,4,3, , ,2,1,2,4,1,4,2,1,1,2,1,1,5,7,7,7,1,1,7,1,7,7,1,4,7,5,7,4,7,1,7,1,1,-7, , , , , , , , , , , , ,5,1,3,4,2,1,4,1,2,1,1,1,4,5,0,0,0,50,1,1,3,1,4,2,2,12,2,8,5,4,36,20,2,4,3,4,2,1,4,4,2,4,1,5, , , , , , , , , , , , , , , ,1,2,4,3,2,1,4,4,7,6,4,4,4,4,3,5,4,3
13108,2,201208,4,2,4,2,2, , ,-7,2,2,2,2, ,2,2,2, ,2,4,5,-7,6,5,4,3,3,5,6,6,2,3,7,4,4,6,4,1,6,4,2,2, , , , , , , , , , , , ,5,5,1,1,1,1,4,2, ,1,1,1,4,70,40,10,0,100,1,1,3,1,4,1,2,11,3,-9,6,4,40,45,1,6,4,2,3,3,4,4,2,4,1,4, , , , , , , , , , , , , , , ,4,5,1,1,1,2,5,5,4,5,4,4,5,4,4,3,3,3
13109,1,201228,3,2,3,2,2, , ,-7,2,2,2,2, ,2,1,1,1,1,3,5,7,7,7,4,-7,6,3,7,7,-7,6,7,7,7,1,7,2,4,1,1,-7, , , , , , , , , , , , ,6,2,3,4,2,1,4,2, ,1,1,1,5,30,100,0,0,80,1,1,3,1,3,1,2,11,2,-9,4,4,0,0,2,6,4,1,2,1,5,5,4,4,1,4, , , , , , , , , , , , , , , ,4,5,1,3,2,1,5,2,3,4,2,1,1,1,4,2,5,1
13117,1,201208,2,1,3,2,1,2, ,1,5,2,2,2, ,-9,2,2, ,3,2,4,6,7,7,1,4,7,1,7,7,1,5,7,6,6,4,7,1,7,5,4,2, , , , , , , , , , , , ,4,4,1,2,1,1,3,2, ,1,1,1,3,50,0,0,0,0,1,1,3,2,1,7,1,10,2,-9,5,2,35,35,1,8,3,1,2,2,4,4,1,4,1,5, , , , , , , , , , , , , , , ,4,2,3,2,1,2,7,7,2,4,6,4,5,4,2,2,2,4
13117,2,201208,2,1,3,2,1,2, ,-7,5,2,1,2, ,-9,1,1,1,2,1,1,6,7,6,1,1,5,1,7,6,1,3,7,7,4,7,7,1,7,1,4,-7, , , , , , , , , , , , ,4,4,1,3,1,1,4,2, ,1,1,1,5,50,25,10,5,25,2, , ,3,5,7,3,10,2,-9,6,2,35,35,2,8,2,5,1,3,4,3,1,3,1,4,5,3,5,5,2,6,1,5,3, , , , , , ,1,1,5,1,2,4,7,6,2,6,5,6,4,5,3,3,3,3
13120,1,201208,6,2,4,4,2, , ,2,1,2,4,1,4,3,1,1,4,1,-7,-7,6,7,6,5,1,7,1,7,5,1,-7,7,7,5,6,7,1,6,3,4,-7, , , , , , , , , , , , ,3,1,3,5,1,1,4,1,4,3,1,5,5,50,90,50,10,99,2, , ,1,3,1,1,6,2,9,6,4,38,38,3,8,4,1,1,1,5,5,1,3,1,4,7,7,6,7,6,5,3,7,3, , , , , , ,1,2,5,2,2,3,5,5,5,5,5,5,4,4,4,4,4,4
13126,1,201208,-9, ,3,4,2, , ,2,1,2,3,2, ,-9,-9,1,-9,-9,2,2,2,2,2,3,5,2,2,2,2,-7,3,2,3,3, , , , , , , , , , , , , , , , , , , ,6,3,5,3,2,2, ,2, ,3,1,1,1,10,5,5,5,100,1,1,2,1,1,1,1,7,4,-9,2,4,40,40,2,6,3,3,3,3,3,3,3,3,3,3, , , , , , , , , , , , , , , ,1,2,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4
13135,1,201208,5,2,3,3,1,2, ,-7,2,2,1,2, ,2,3,2, ,4,4,6,5,6,3,1,1,6,1,7,7,1,3,7,7,5,4,4,4,4,4,4,-7, , , , , , , , , , , , ,4,1,3,1,2,1,1,2, ,3,1,1,1,25,100,100,1,100,1,1,3,2,2,1,2,8,4,10,2,1,40,24,1,6,5,1,5,3,5,5,1,5,1,5,7,7,7,7,4,1,7,7,1, , , , , , ,1,2,3,2,2,3,4,4,4,4,4,4,4,4,4,4,4,4
13137,1,201208,5,2,4,4,2, , ,2,2,2,3,2, ,3,2,1,3,1,3,6,6,7,7,4,3,5,4,7,6,3,5,7,7,6,2,2,2,4,6,5,3, , , , , , , , , , , , ,5,2,3,3,1,1,4,1,1,1,1,1,5,20,80,40,10,100,1,1,3,1,4,2,2,7,4,8,6,4,36,25,3,1,2,2,3,2,4,4,2,3,2,4,6,6,6,6,6,4,3,6,6, , , , , , ,1,5,1,1,2,1,5,6,2,4,5,5,5,4,4,2,2,3
13138,1,201208,5,2,3,3,2, , ,2,2,2,3,2, ,3,2,2, ,2,2,6,4,7,6,1,1,4,1,7,4,1,5,7,3,5,7,7,1,7,4,3,-7, , , , , , , , , , , , ,2,4,1,5,1,1,3,1,2,3,1,3,5,20,0,0,0,10,1,1,3,1,2,1,1,8,3,7,3,4,38,32,2,8,4,3,1,1,4,5,4,4,2,4,5,6,6,5,3,2,4,7,6, , , , , , ,2,4,4,4,3,3,5,4,6,5,3,4,5,4,3,4,4,4
13152,1,201208,3,2,3,2,2, , ,1,2,2,3,2, ,4,1,1,1,1,-7,-7,5,5,5,3,4,5,-7,7,5,-7,-7,7,6,6,6,6,4,6,2,2,-7, , , , , , , , , , , , ,4,5,2,4,1,1,3,2, ,3,1,1,4,50,50,0,0,50,2, , , , , ,2,7,1,7,4,4,40,28,1,1,3,1,3,1,4,5,1,3,1,4,7,7,3,6,1,1,5,7,1, , , , , , ,4,5,2,4,1,1,3,2,5,2,4,4,4,3,5,5,5,4
13154,1,201208,5,2,3,4,2, , ,2,1,2,3,2, ,3,2,2, ,3,-7,-7,3,5,6,3,2,6,-7,6,4,3,-7,6,6,4,4,3,2,5,5,5,3, , , , , , , , , , , , ,3,4,2,3,1,1,3,1,2,1,1,3,4,20,10,2,1,20,2, , ,1,3,2,1,5,2,10,7,4,40,40,3,6,3,3,4,2,4,5,4,4,2,4,6,3,5,6,7,3,2,5,2, , , , , , ,1,2,3,1,1,2,1,1,6,6,6,6,5,2,2,4,4,1
13155,1,201208,2,2,3,2,1,2, ,2,3,2,2,2, ,2,-9,2, ,2,-7,-7,-7,7,7,-7,-7,4,-7,7,7,-7,-7,7,6,7,4,4,4,4,4,6,-7, , , , , , , , , , , , ,6,2,4,3,2,1,3,2, ,3,4,1,4,60,0,0,0,5,2, , , , , ,3,12,2,-9,4,5,0,0,2,1,4,2,4,1,4,4,2,3,2,4, , , , , , , , , , , , , , , ,1,5,3,4,1,1,4,5,3,5,5,4,5,4,3,3,3,3
13157,1,201208,5,2,4,4,3, , ,2,2,2,4,2, ,3,1,1,3,1,5,4,6,4,4,4,4,6,3,6,5,4,3,5,4,4,6,6,1,6,3,1,2, , , , , , , , , , , , ,5,3,3,1,1,1,4,1,1,1,1,1,5,50,80,50,5,99,1,2,3,2,3,1,2,9,3,9,5,4,40,16,1,6,4,2,1,1,4,4,1,3,1,4,6,6,4,5,4,2,4,6,2, , , , , , ,4,5,1,4,4,4,3,1,5,4,3,2,4,3,4,5,4,4
13159,1,201208,4,2,5,5,2, , ,-7,2,2,3,2, ,3,3,1,7,1,7,6,5,4,4,2,4,4,6,6,4,2,7,6,3,3,4,2,3,2,3,2,1, , , , , , , , , , , , ,6,1,4,2,1,1,4,1,1,1,1,1,5,80,100,100,100,100,1,2,2,1,5,1,2,11,3,9,6,5,20,20,2,2,4,3,4,2,2,2,2,4,2,3,4,4,4,4,4,4,4,4,4, , , , , , ,3,1,2,4,4,1,6,5,2,3,3,4,2,5,5,5,5,5
13161,1,201208,4,2,3,1,1,2, ,1,5,2,4,2, ,4,1,2, ,2,1,6,6,5,6,1,1,6,1,6,6,1,6,6,2,6,7,7,1,7,1,1,-7, , , , , , , , , , , , ,5,7,3,3,1,1,3,1,1,1,2,1,1,50,0,0,0,10,1,1,3,1,3,1,1,10,2,7,3,4,40,25,1,1,5,4,5,1,3,5,5,5,1,5,7,7,1,7,5,1,6,7,1, , , , , , ,4,4,1,3,3,2,5,2,6,1,1,6,5,5,5,5,7,5
13161,2,201208,4,2,3,1,1,2, ,1,4,2,4,2, ,4,1,2, ,2,1,6,6,6,6,1,1,6,1,7,6,1,-7,7,7,1,6,6,1,6,1,1,-7, , , , , , , , , , , , ,5,7,3,3,2,1,3,1,1,1,4,1,1,50,0,0,0,50,1,1,3,1,2,1,1,10,2,7,3,4,40,30,2,1,4,3,1,3,3,3,1,3,2,4, , , , , , , , , , , , , , , ,3,2,4,3,3,1,4,1,6,1,6,1,6,4,6,6,7,6
13176,1,201208,5,2,3,2,1,2, ,2,2,2,3,2, ,2,2,2, ,2,3,5,7,7,7,4,4,4,2,6,6,2,4,6,6,6,7,7,1,5,1,1,1, , , , , , , , , , , , ,4,5,3,3,2,1,4,1,3,1,1,1,5,75,78,25,0,80,1,1,1,1,4,1,2,10,4,8,2,5,10,5,4,6,3,4,2,3,4,4,2,3,3,3,6,6,6,6,5,4,4,6,4, , , , , , ,4,5,1,4,3,1,5,4,2,2,3,4,6,5,3,3,2,1
