nohhold,nomem,weeknr,inkhh,inknorm,inkrond,finsitu,inkeven,inkaank,inksec,loan1,loan2,loan3,ink25a,ink25b,ink25c,ecsit,zinvol,opzij,hoevopzy,opzij12,spaarm01,spaarm02,spaarm03,spaarm04,spaarm05,spaarm06,spaarm07,spaarm08,spaarm09,spaarm10,spaarm11,spaarm12,spaarm13,spaarm14,spaarm15,spaarm16,situat1,situat2,situat3,situat4,situat5,situat6,situat7,spaar1,spaar2,spaar3,spaar4,spaar5,spaar6,beschryf,toek01,toek02,toek03,toek04,toek05,toek06,toek07,toek08,toek09,toek10,toek11,toek12,uitgeven,plannen,periode1,bijhoud,potjes,pin1,pin2,chip1,chip2,autom,foon,smart,intern,zon,her1,her2,her3,her4,baby,plan,uitspr,hhrela,beslis,geldh,geluk,kenltd,kenhh,kenink,kenopl,kenwerk,manuur,vrouwuur,kunde,advies,con01,con02,con03,con04,con05,con06,con07,con08,con09,con10,con11,con12,con13,con14,con15,con16,con17,con18,con19,con20,con21,con22,con23,con24,con25,con26,con27,con28,con29,con30,con31,con32,con33,con34,con35,con36,con37,con38,con39,con40,con41,con42,con43,con44,con45,con46,con47,con48,con49,con50,locus01,locus02,locus03,locus04,locus05,locus06,locus07,locus08,locus09,locus10,locus11,locus12,locus13,work01,work02,work03,work04,work05,work06,work07,work08,work09,jeugd1,jeugd2,jeugd3,jeugd4,jeugd5,jeugd6,MHI001,MHI002,MHI003,MHI004,MHI005,toek01_x,toek02_x,toek03_x,toek04_x,toek05_x,toek06_x,toek07_x,toek08_x,toek09_x,toek10_x,toek11_x,toek12_x,jeugd1_x,jeugd2_x,jeugd3_x,jeugd4_x,jeugd5_x,jeugd6_x
10906,2,201342,4,2,4,4,3, , ,-7,2,2,3,1,4,3,1,1,3,1,-7,6,4,6,6,7,5,7,1,6,4,-7,5,4,2,1,6,4,2,5,5,4,3,7,7,1,7,2,1,1, , , , , , , , , , , , ,5,3,2,3,1,1,3,1,1,2,1,1,5,0,80,80,20,75,1,2,3,1,1,1,2,9,3,8,3,4,40,40,2,9,3,4,2,2,3,3,4,3,2,3,1,5,4,2,5,5,2,3,3,1,3,4,5,4,2,3,1,1,3,3,5,5,4,1,1,5,3,2,4,4,2,1,1,3,3,4,4,2,3,3,5,4,6,7,5,5,7,3,5,3,1,2,1,3,3,4,5,4,7,7,7,2, , , , , , ,5,3,2,4,3,4,2,3,3,3,3,4,4,3,4,3,2,1,5,3,4,1,1
10913,2,201321,4,2,1,2,2, , ,1,3,2,2,1,3,4,3,1,2,1,-7,-7,4,4,6,-7,5,6,-7,6,6,-7,-7,5,6,6,2,5,4,3,3,3,2,1,1,5,3,5,6,4, , , , , , , , , , , , ,3,6,1,3,1,1,4,2, ,3,1,1,5,70,0,0,0,70,2, , ,1,5,1,2,12,2,-9,4,5,0,0,3,8,3,4,2,3,4,4,2,4,1,4,1,1,1,2,4,5,3,4,4,1,3,2,4,4,3,5,2,1,4,4,3,4,2,2,2,1,2,3,4,4,2,1,1,4,1,3,4,2,2,4,5,5,6,6,6,6,6,1,2,2,4,3,5, , , , , , , , , , , , , , , ,3,1,4,2,5,5,4,5,6,6,5,5,6,2,2,3,2,1,2,5,3,4,4
10928,2,201338,4,2,3,4,3, , ,2,1,2,4,1,5,4,1,1,2,1,1,5,5,5,5,1,1,7,1,7,5,1,3,7,7,5,3,4,4,3,7,3,6,7,7,1,7,1,1,1, , , , , , , , , , , , ,5,2,4,4,2,1,4,1,2,3,1,1,4,50,80,50,0,100,1,2,3,1, , ,2,8,2,9,6,4,40,32,2,8,5,1,3,1,3,5,1,5,1,4,3,1,1,5,1,5,5,3,5,1,2,4,1,5,4,4,5,2,1,4,1,5,1,3,5,1,1,5,3,5,1,5,5,3,1,2,5,5,1,5,6,6,6,6,6,6,6,1,5,3,1,1,4,7,6,6,7,6,1,1,7,1, , , , , , ,1,1,5,1,5,5,5,2,2,2,6,6,6,1,1,1,2,3,2,5,2,2,2
10932,1,201321,4,2,4,4,3, , ,1,2,2,4,1,5,3,3,1,2,1,3,3,4,4,5,3,3,3,3,3,3,3,4,5,3,4,4,4,4,3,3,3,3,3,7,1,7,3,1,-7, , , , , , , , , , , , ,6,2,2,4,2,1,3,2, ,1,1,1,5,50,5,0,0,70,1,1,3,2,2,2,3,10,2,7,6,4,40,40,2,8,3,2,2,2,4,4,2,3,2,3,5,1,3,4,3,4,4,3,3,1,2,4,3,4,4,2,4,2,2,4,2,4,3,1,4,2,1,4,3,4,1,1,4,4,1,4,2,4,2,4,5,5,5,3,5,5,5,5,2,5,5,5,2,5,5,5,5,5,5,3,5,5, , , , , , ,2,1,5,1,3,5,5,3,5,5,5,6,6,3,2,2,2,4,5,2,4,1,3
10952,1,201342,5,2,4,4,3, , ,2,1,2,4,2, ,2,1,1,4,1,1,2,1,6,6,1,1,7,1,6,1,1,1,5,1,1,5,5,2,5,5,5,6,7,7,1,7,2,1,1, , , , , , , , , , , , ,6,1,3,4,2,1,3,1,2,1,1,1,3,0,100,100,30,100,1,2,5,2,3,1,2,10,2,9,6,4,36,24,3,3,5,2,2,1,4,4,2,4,1,4,1,4,1,5,2,4,5,1,4,2,1,5,3,2,5,1,3,5,2,5,2,4,1,1,3,5,2,5,4,3,1,4,4,4,1,4,2,4,1,4,5,5,4,5,6,7,6,2,3,2,2,2,2, , , , , , , , , , , , , , , ,1,1,6,1,6,6,5,3,3,2,2,5,3,2,3,3,2,4,5,1,4,2,2
10952,2,201321,4,2,4,4,1,1,3,-7,2,2,4,2, ,3,2,1,3,1,3,7,3,7,6,6,2,5,4,6,4,1,6,6,6,5,4,3,4,4,4,4,5,1,7,1,6,1,1,1, , , , , , , , , , , , ,5,2,3,4,1,1,3,1,2,1,1,1,4,40,75,60,0,80,1,3,2,2,3,1,1,11,2,8,5,4,36,18,3,6,4,1,1,2,4,5,1,4,1,4,3,1,2,2,3,4,4,3,4,1,3,2,3,4,4,3,3,2,4,4,2,4,2,3,3,2,1,3,4,5,1,1,4,4,1,4,4,3,2,4,5,3,5,2,5,3,3,6,6,3,4,5,2, , , , , , , , , , , , , , , ,2,2,5,2,5,4,2,5,4,4,3,5,5,5,5,5,5,3,4,2,4,3,3
10966,1,201338,4,2,3,3,2, , ,2,1,2,3,2, ,2,2,1,2,3,5,5,3,2,5,1,3,7,3,4,3,1,4,3,2,1,6,6,7,4,7,2,4,5,2,5,2,6,6,3, , , , , , , , , , , , ,6,2,3,3,1,1,4,2, ,3,1,1,4,10,50,50,10,100,1,1,3,1,4,1,1,10,3,10,6,3,50,20,2,6,3,1,4,1,5,4,1,4,1,5,1,4,1,4,3,5,5,4,4,1,1,3,1,4,1,4,4,2,1,5,3,3,3,3,3,3,3,3,3,3,1,5,5,4,1,4,1,5,1,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,6,1,6,2,3,1,6,5,1,5,5,4,6,6,1,4,3,3,4,2,2
11001,1,201321,4,2,4,4,3, , ,2,1,2,4,2, ,1,1,1,2,1,1,1,7,7,7,-7,-7,7,1,7,7,-7,1,7,2,4,4,4,4,4,4,4,7,1,7,1,7,1,1,1, , , , , , , , , , , , ,7,1,3,3,1,1,4,2, ,3,1,1,4,50,100,100,50,100,1,1,3,2,3,3,3,11,2,9,6,4,36,32,2,6,3,3,3,1,3,5,3,5,1,3,1,4,1,3,4,3,4,2,3,3,4,3,4,2,4,3,1,5,3,4,3,3,1,3,1,4,2,3,4,3,2,3,2,2,3,3,5,3,2,3,6,4,5,3,5,5,6,3,4,4,4,2,2,2,2,6,4,6,4,1,1,1, , , , , , ,1,1,6,1,3,4,5,4,4,4,3,4,4,4,5,4,4,1,1,5,4,3,3
11002,1,201321,4,2,4,4,2, , ,-7,1,2,3,2, ,3,-9,1,2,2,3,7,-7,4,7,-7,2,7,3,6,-7,-7,6,7,7,7,4,4,4,4,4,4,7,7,7,4,7,1,1,1, , , , , , , , , , , , ,5,2,3,3,1,1,4,2, ,3,1,1,5,80,50,0,0,100,1,1,3,1,3,2,2,12,2,8,6,4,35,32,2,8,3,4,1,2,3,4,5,3,3,3,2,2,2,3,4,5,4,1,4,1,2,4,4,4,4,1,4,1,2,3,2,4,2,2,5,1,1,4,3,4,2,2,4,4,1,4,3,4,1,3,2,6,2,2,6,6,4,4,4,4,4,4,4, , , , , , , , , , , , , , , ,2,2,5,2,5,5,4,5,4,4,1,3,3,5,6,4,6,3,4,2,1,2,3
11002,2,201321,5,2,5,4,3, , ,-7,2,2,4,2, ,2,3,1,3,2,4,6,-7,4,7,-7,2,7,3,6,6,-7,5,7,6,-7,4,1,1,1,4,1,7,7,7,1,5,1,1,-7, , , , , , , , , , , , ,5,2,2,1,1,1,3,1,2,3,1,1,5,50,100,0,0,0,1,1,5,1,3,3,1,12,2,7,4,1,38,28,1,6,1,3,2,2,2,3,2,3,1,3,1,4,2,3,3,4,4,2,3,1,3,3,3,3,3,2,4,3,2,4,3,4,2,2,4,1,3,3,3,3,2,2,2,4,3,3,3,4,3,4,5,2,2,2,5,4,1,6,6,6,2,4,2, , , , , , , , , , , , , , , ,2,2,5,2,5,5,3,5,5,5,2,5,3,4,5,5,6,1,2,2,2,2,3
11003,1,201321,5,2,4,4,2, , ,2,1,2,3,2, ,2,1,1,2,2,4,5,6,5,5,2,3,5,4,5,6,2,3,5,5,6,5,4,4,4,5,4,6,5,4,5,5,5,5,3, , , , , , , , , , , , ,5,2,4,4,2,1,4,1,2,1,1,1,5,60,90,80,5,99,1,3,3,1,3,2,2,11,2,9,6,4,40,20,3,3,4,3,3,2,3,3,2,4,2,3,3,2,3,3,3,4,4,2,4,3,3,3,3,3,4,3,3,3,3,3,3,3,2,2,3,2,3,3,3,3,2,3,2,3,2,3,2,3,2,3,4,4,4,4,5,5,5,3,4,3,4,2,4, , , , , , , , , , , , , , , ,2,1,5,2,5,5,5,2,4,4,5,4,5,2,2,2,3,1,2,2,2,3,3
11041,1,201338,3,2,4,4,3, , ,-7,2,2,4,1,2,3,1,1,2,1,6,6,1,7,-7,1,6,7,6,7,4,1,7,-7,6,6,4,3,4,3,5,3,4,1,7,3,2,1,1,1, , , , , , , , , , , , ,6,1,2,4,2,1,3,1,2,3,1,1,1,0,100,90,0,100,1,1,2, , , ,2,9,4,7,4,4,38,32,2,5,4,1,3,1,4,4,1,5,1,4,2,1,1,3,4,5,4,1,5,1,1,3,3,4,5,1,3,1,2,2,1,3,1,2,5,1,1,4,3,5,1,2,3,4,1,5,2,4,1,3,3,3,4,1,6,6,7,4,4,4,1,2,4, , , , , , , , , , , , , , , ,2,1,6,1,5,2,2,6,4,4,1,6,3,5,6,4,5,4,4,2,2,3,2
11079,2,201321,3,2,3,2,2, , ,-7,4,2,3,2, ,2,4,2, ,3,-7,-7,4,5,5,-7,-7,3,-7,6,5,-7,2,6,7,4,4,3,3,3,2,3,1,2,7,1,6,1,1,-7, , , , , , , , , , , , ,4,4,2,4,2,1,3,2, ,2,1,1,4,50,0,0,0,10,1,1,4, , , ,2,13,1,6,3,5,0,0,2,1,4,3,3,1,3,2,2,2,2,2,1,1,1,2,2,1,1,2,2,1,2,3,2,4,4,3,3,1,2,3,2,4,1,2,3,2,2,2,4,4,1,1,3,4,2,1,2,4,1,1,1,1,2,1,6,6,6,5,7,5,4,2,5, , , , , , , , , , , , , , , ,1,2,5,1,5,1,1,4,4,4,1,1,1,2,4,4,4,4,5,2,1,1,2
11082,2,201321,4,2,4,2,3, , ,2,1,2,4,2, ,3,1,1,3,1,1,1,7,7,7,1,1,7,1,7,7,1,1,7,7,7,6,7,1,7,1,7,7,1,7,1,7,1,1,1, , , , , , , , , , , , ,7,1,4,5,1,1,3,2, ,1,1,1,5,50,0,100,100,100,2, , ,1,3,2,1,9,2,8,3,1,60,20,2,7,5,1,1,1,5,5,1,5,1,5,1,1,1,1,5,5,5,1,5,1,1,5,5,5,5,1,5,1,1,5,1,5,1,1,5,1,1,5,1,5,1,5,5,5,1,5,5,5,1,5,7,7,7,7,7,7,7,1,7,1,1,1,1, , , , , , , , , , , , , , , ,1,1,6,1,1,7,1,7,1,7,1,7,7,1,1,7,1,1,1,4,4,2,3
11106,1,201321,5,2,4,5,3, , ,-7,2,2,4,2, ,3,1,1,5,1,-7,-7,7,6,7,7,6,7,-7,7,7,4,-7,7,7,7,4,4,3,5,4,3,5,5,3,1,5,5,5,2, , , , , , , , , , , , ,6,2,3,4,1,1,2,2, ,1,2,1,4,40,100,70,0,100,2, , , , , ,3,8,2,9,6,4,40,32,2,6,3,2,4,2,5,5,1,5,2,5,4,2,3,5,1,4,4,2,4,1,4,4,2,4,3,2,4,2,3,4,2,4,2,2,4,2,4,4,3,4,2,4,3,4,2,4,2,4,2,4,4,3,5,4,5,6,6,3,3,3,2,2,2,7,6,5,6,6,6,3,6,4, , , , , , ,2,2,5,3,5,6,6,2,2,1,7,7,5,1,4,1,1,1,5,2,3,2,1
11115,1,201321,4,2,4,3,1,2, ,-7,2,2,3,2, ,3,-9,1,1,1,3,4,4,4,7,-7,2,4,2,6,2,-7,2,6,6,2,4,3,2,4,4,3,4,6,5,1,5,4,1,1, , , , , , , , , , , , ,5,3,3,3,1,1,4,1,4,3,1,1,1,10,90,90,0,90,1,1,3,1,3,1,2,8,4,-9,4,4,40,20,3,1,2,1,3,1,4,5,1,4,1,4,3,2,1,4,2,4,5,1,4,1,2,4,2,3,5,3,4,1,3,3,2,4,1,1,4,1,1,4,3,4,1,2,2,3,1,4,2,4,1,3,5,3,5,4,5,6,5,3,3,3,3,3,4,5,5,5,5,6,6,3,6,4, , , , , , ,1,1,6,1,5,4,4,4,4,4,4,4,4,4,4,4,4,1,2,3,3,3,2
11115,2,201321,4,2,3,3,2, , ,-7,1,2,3,2, ,-9,1,1,-9,1,4,6,6,6,4,-7,4,6,4,6,6,-7,-7,6,6,4,4,2,2,2,4,3,2,1,5,1,5,4,1,-7, , , , , , , , , , , , ,4,4,1,4,1,1,4,2, ,1,1,1,5,0,100,100,0,100,1,1,3,2,3,1,2,8,3,-9,5,4,40,25,2,9,3,4,1,1,4,3,1,2,1,3,2,1,4,3,1,5,3,4,3,1,4,4,3,5,5,4,3,3,3,3,1,5,3,1,5,1,3,4,3,4,1,3,3,4,3,3,5,3,1,2,6,4,4,1,4,4,4,3,3,3,1,1,1, , , , , , , , , , , , , , , ,2,1,5,2,3,3,3,6,3,3,3,2,2,2,2,2,2,4,4,3,4,2,3
11117,1,201321,4,2,2,2,1,2, ,2,2,2,3,2, ,4,2,2, ,2,5,6,6,6,6,2,3,7,5,6,6,2,6,7,6,5,5,4,4,4,4,4,4,6,4,1,6,4,4,-7, , , , , , , , , , , , ,4,5,4,3,3,1,3,1,1,1,1,1,3,30,95,30,0,95,1,3,5,1,3,1,2,8,4,9,4,4,36,24,2,8,2,4,1,3,4,4,2,2,3,3,3,1,3,3,3,4,3,3,3,3,4,3,4,4,3,3,3,2,4,4,3,4,3,3,3,3,4,4,4,4,3,2,2,4,3,4,4,4,2,3,4,5,5,4,4,4,4,5,2,4,4,4,4,6,6,5,6,5,2,4,6,2, , , , , , ,3,2,4,3,3,6,6,5,4,5,4,5,5,6,4,5,4,1,2,3,1,2,2
11117,2,201321,4,2,3,3,2, , ,2,3,2,3,2, ,3,2,1,1,2,6,6,6,6,6,6,6,6,6,6,6,3,6,6,6,6,4,4,4,4,4,4,3,5,5,2,5,4,2,-7, , , , , , , , , , , , ,4,5,2,3,1,1,4,2, ,3,1,1,1,90,5,1,1,50,1,1,2,1,3,1,3,8,4,8,5,4,36,24,1,1,2,4,2,2,3,4,3,3,3,3,2,3,4,4,3,3,2,3,3,1,4,4,4,3,3,3,2,2,3,2,3,4,4,3,2,2,2,3,3,3,3,3,2,3,3,3,5,3,3,2,4,4,3,4,4,4,4,4,4,4,4,3,3,4,2,3,3,5,6,6,6,1, , , , , , ,4,2,3,2,3,4,4,3,3,3,3,5,4,4,3,4,4,1,2,3,3,3,3
11120,2,201321,4,2,4,4,3, , ,-7,2,2,4,2, ,3,1,1,3,1,6,6,7,6,7,4,5,6,5,3,6,4,5,6,6,6,5,5,5,5,2,5,5,5,4,2,5,4,4,3, , , , , , , , , , , , ,4,4,4,4,2,1,3,1,3,1,2,4,4,0,60,0,10,30,1,1,3,2,2,1,2,7,4,9,4,4,40,32,2,1,4,2,3,2,5,5,2,4,2,5,4,2,2,3,2,4,4,3,4,1,2,3,3,4,4,2,4,2,2,3,1,4,2,4,4,2,2,4,2,4,1,3,2,4,2,4,1,4,1,4,6,2,5,1,4,6,5,2,6,3,4,2,2,6,6,6,6,7,3,4,6,5, , , , , , ,1,1,5,1,4,3,4,2,3,3,2,4,5,3,4,5,3,1,3,1,3,2,2
11120,4,201321,4,2,4,4,3, , ,2,2,2,4,2, ,3,1,1,3,1,5,5,7,6,7,3,4,6,4,6,3,2,4,6,6,5,5,6,2,5,5,5,4,4,6,2,5,3,2,1, , , , , , , , , , , , ,5,2,3,4,2,1,1,1,1,1,4,4,4,0,40,0,20,40,1,3,3,2,2,1,2,6,4,9,4,4,40,32,3,1,2,4,3,4,2,5,4,4,3,1,4,4,2,3,4,2,3,2,2,1,4,3,4,4,2,3,2,3,2,3,3,4,4,3,2,4,1,4,4,3,4,2,3,2,4,2,4,2,3,3,4,3,5,6,6,5,2,2,2,3,4,2,1,3,5,5,2,6,6,5,5,2, , , , , , ,3,1,4,2,4,5,5,3,2,5,4,6,6,2,2,2,5,1,4,1,3,1,1
11161,1,201321,5,2,4,5,3, , ,2,1,2,4,1,4,4,1,1,3,1,5,5,5,6,6,4,4,5,5,6,5,4,6,7,6,5,5,4,4,5,5,4,6,5,3,1,5,2,2,1, , , , , , , , , , , , ,5,3,4,5,2,1,4,2, ,2,1,1,4,30,80,70,0,80,1,1,2,1,3,1,1,9,4,9,7,4,36,24,3,8,4,2,4,2,4,5,1,4,1,4,3,2,3,5,2,4,4,3,4,1,2,4,3,4,5,2,4,2,2,4,2,5,2,2,3,2,1,4,2,4,1,4,2,4,2,4,2,4,1,4,4,5,4,5,5,6,5,2,6,2,2,1,2,6,6,6,6,5,2,3,5,5, , , , , , ,1,1,5,1,5,5,5,3,5,5,3,5,4,2,2,3,2,1,5,5,3,1,2
11161,2,201321,5,2,4,4,2, , ,2,1,2,4,2, ,4,2,1,3,2,4,4,5,6,7,5,4,6,4,7,5,4,3,5,6,5,4,4,4,3,3,5,7,6,1,5,7,5,5,3, , , , , , , , , , , , ,6,3,3,3,2,1,4,2, ,2,1,1,5,60,70,50,20,90,1,1,3,1,3,1,1,9,4,9,7,4,36,24,2,8,3,2,3,1,5,5,1,4,1,4,3,1,1,5,2,5,4,1,5,1,2,5,1,5,5,1,5,1,3,4,1,5,1,1,5,1,1,5,2,4,1,5,5,3,2,4,1,4,1,5,3,3,5,5,7,7,7,1,2,2,1,3,1,7,7,7,7,7,3,4,7,4, , , , , , ,2,1,5,1,5,5,6,3,5,4,7,7,5,2,2,3,2,1,5,2,2,3,3
11161,4,201321, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,2,2,6,5,3,1, , , , , , , , , , , , ,5,2,2,3,1,1,2,2, ,1,1,2,4,60,75,40,10,100,2, , ,2, , ,2,2,4,9,6,5,10,12,2,1,4,4,2,2,4,4,3,3,2,3,3,2,3,4,3,4,3,2,3,2,4,5,3,3,2,1,3,3,3,3,2,4,2,2,3,2,4,3,3,4,3,4,3,3,2,3,4,3,2,3,6,6,5,5,6,6,7,3,5,3,4,3,2, , , , , , , , , , , , , , , ,3,1,4,2,4,4,5,3,3,5,5,5,4,3,1,2,1,1,3,3,4,2,3
11162,1,201321,3,2,4,4,3, , ,2,3,2,4,1,4,3,3,1,2,1,3,5,-7,6,5,-7,3,3,3,6,3,-7,5,6,6,3,4,2,4,4,4,3,5,3,1,1,5,4,5,3, , , , , , , , , , , , ,6,2,3,3,1,1,3,2, ,3,1,1,4,80,100,100,0,100,1,1,3,2,3,1,2,13,2,-9,6,5,0,20,2,2,3,2,2,2,3,4,2,4,2,5,1,3,2,4,2,4,4,2,4,1,3,3,3,4,4,2,2,4,3,3,2,4,2,2,3,3,2,4,3,4,2,3,2,3,2,3,2,4,2,2,4,3,3,4,5,3,5,2,3,3,4,3,2, , , , , , , , , , , , , , , ,1,1,6,1,5,4,3,3,2,4,4,6,5,2,3,3,4,4,5,1,4,1,1
11183,2,201321,4,2,1,2,2, , ,1,2,2,5,2, ,1,2,1,2,3,1,5,6,6,6,2,5,6,1,6,6,1,6,6,5,6,5,5,4,3,4,2,1,5,2,5,5,5,5,3, , , , , , , , , , , , ,7,7,3,4,3,1,3,1,4,1,4,1,3,30,0,0,0,10,1,2,4, , , ,2,10,2,8,2,4,40,20,3,6,4,2,4,2,5,5,2,5,2,4,1,4,1,4,1,4,5,2,5,1,3,3,2,4,4,2,3,2,2,3,1,4,2,2,2,2,1,5,3,4,1,3,4,4,1,4,2,4,1,3,5,6,6,2,6,7,6,4,6,6,6,4,6,7,5,7,6,5,1,5,6,6, , , , , , ,1,1,5,1,4,6,3,4,5,5,5,2,4,2,2,5,4,4,1,5,1,4,2
11221,1,201321,5,2,3,1,2, , ,-7,2,2,3,2, ,4,3,2, ,3,2,3,4,4,4,3,1,4,3,3,3,1,3,4,4,4,4,4,4,4,3,3,3,1,5,1,1,1,1,-7, , , , , , , , , , , , ,4,4,2,1,1,1,4,2, ,1,1,5,5,50,20,10,5,50,1,1,3,1,3,1,2,7,2,-9,5,4,40,24,3,8,2,4,2,2,3,3,3,3,3,3,2,2,4,4,2,2,3,3,2,1,4,2,4,3,2,3,2,3,3,2,3,4,4,3,3,3,3,4,4,3,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,3,5,4, , , , , , ,2,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,1,3,4
11221,2,201321,5,2,3,3,2, , ,2,2,2,3,2, ,4,3,2, ,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,4,3,3,3,2,3,3,3,3,3,3,3,3,-7, , , , , , , , , , , , ,4,4,3,1,1,1,4,2, ,1,1,5,5,40,30,20,10,20,1,1,5,1,3,1,2,8,3,-9,5,4,40,24,3,8,4,2,4,2,5,5,2,4,2,5,2,2,2,4,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,2,4,2,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,2,3,2,3,2,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5, , , , , , ,1,2,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,1,2,3,2,2,2
11242,1,201321,4,2,4,4,2, , ,-7,2,2,3,2, ,3,1,1,2,1,5,3,3,5,5,2,2,6,3,6,2,2,2,6,6,3,4,5,3,5,5,5,5,1,7,5,5,2,4,1, , , , , , , , , , , , ,6,1,3,5,2,1,2,2, ,1,1,1,5,30,1,50,0,75,1,1,3,1,3,1,1,12,2,9,5,4,40,15,3,7,4,1,4,1,5,5,1,5,1,4,2,3,2,4,4,4,4,2,4,1,2,4,4,4,4,2,4,2,2,3,2,4,2,4,4,2,2,4,4,4,2,2,3,4,2,4,4,4,2,4,6,6,6,5,5,6,6,4,6,6,5,5,3, , , , , , , , , , , , , , , ,1,1,6,1,6,6,4,5,2,5,3,5,5,3,4,3,3,1,2,2,2,2,2
11252,1,201321,2,1,4,3,2, , ,-7,4,2,4,2, ,2,1,2, ,3,3,7,7,7,7,-7,-7,7,3,7,7,-7,5,7,7,7,1,1,5,1,5,1,4,7,1,1,7,7,1,-7, , , , , , , , , , , , ,5,3,4,4,1,1,4,2, ,3,1,1,4,20,50,0,0,50,1,1,3,1,3,1,1,9,3,-9,3,4,40,25,2,8,1,1,1,1,5,5,1,4,1,5,5,1,1,3,1,4,4,2,5,1,1,4,3,4,4,3,5,1,3,4,4,5,1,5,5,1,4,4,1,5,1,1,5,5,1,5,3,5,1,4,7,1,4,7,6,7,4,1,1,1,1,1,6, , , , , , , , , , , , , , , ,1,1,6,1,6,5,5,6,6,5,1,7,7,4,5,5,7,4,5,1,4,1,2
11252,2,201321,2,1,3,3,2, , ,-7,2,2,3,2, ,3,1,1,1,2,4,7,7,7,7,-7,5,6,5,6,7,-7,7,7,5,7,2,2,2,2,4,2,3,4,6,1,4,4,3,-7, , , , , , , , , , , , ,5,2,4,4,2,1,3,2, ,3,1,1,3,10,50,0,0,60,1,1,3,2,3,1,2,11,2,6,2,5,0,0,2,6,4,1,2,1,2,4,2,4,1,5,1,4,1,3,2,4,4,3,4,1,2,2,4,4,3,3,4,2,2,3,1,5,1,3,4,3,2,4,2,4,2,1,1,3,1,4,1,4,2,2,5,5,6,2,2,6,4,3,3,5,2,2,5, , , , , , , , , , , , , , , ,2,1,4,2,5,4,1,6,5,3,1,2,4,4,2,2,1,3,5,2,4,3,2
11270,1,201321,4,2,4,4,3, , ,2,3,2,3,2, ,3,2,1,2,2,4,4,5,5,4,3,3,4,5,4,4,2,3,4,5,5,3,3,4,4,4,3,3,3,5,4,5,4,4,1, , , , , , , , , , , , ,4,4,3,3,1,1,3,2, ,3,1,1,5,50,80,40,10,90,1,1,3,1,2,1,2,8,4,7,4,4,40,20,2,2,4,2,3,3,2,4,3,3,2,3,2,4,2,3,3,4,3,3,3,1,2,3,3,3,2,3,2,4,2,3,3,3,2,3,2,3,2,3,3,3,2,3,2,3,2,4,3,4,2,3,4,3,3,3,4,4,4,2,2,4,4,4,4, , , , , , , , , , , , , , , ,2,2,5,2,5,5,5,2,4,4,4,5,6,2,5,4,2,3,2,2,2,3,2
11270,2,201321,3,2,3,3,2, , ,-7,4,2,3,1,3,2,2,2, ,3,2,3,5,-7,-7,6,1,7,1,7,-7,-7,3,7,6,4,1,1,3,1,4,1,5,7,1,1,5,4,5,-7, , , , , , , , , , , , ,7,1,1,3,1,1,4,2, ,2,1,1,5,25,25,1,0,0,1,1,3,2,3,2,2,8,4,7,3,4,38,20,2,8,3,3,2,5,4,3,5,4,1,3,1,4,2,3,4,5,3,2,4,1,2,3,3,5,3,2,3,2,4,4,2,4,1,1,3,2,1,4,4,5,1,4,3,5,1,4,3,4,1,4,2,2,1,6,5,3,5,2,3,5,2,4,2, , , , , , , , , , , , , , , ,2,1,4,2,5,1,2,6,3,2,2,1,1,2,6,6,6,3,2,3,2,3,4
11301,1,201321,5,2,4,4,3, , ,1,3,2,4,2, ,3,1,1,3,2,1,3,6,7,7,1,3,6,1,7,5,1,2,7,4,4,5,5,4,4,4,4,5,5,3,1,5,3,3,2, , , , , , , , , , , , ,6,2,3,3,1,1,4,2, ,1,1,1,5,10,90,80,10,99,1,1,3,2,4,1,3,9,2,-9,6,4,40,20,2,8,3,1,3,3,4,4,1,4,1,5,2,1,2,4,2,4,4,4,4,1,3,2,2,4,3,4,4,2,2,3,2,4,2,4,3,1,2,4,3,4,2,2,3,4,2,5,2,4,2,3,5,3,4,5,5,5,5,2,2,2,2,4,2,4,2,5,5,2,3,3,1,2, , , , , , ,1,1,5,2,3,6,5,2,3,3,4,5,5,3,3,2,2,1,5,4,1,3,3
