nohhold,nomem,weeknr,gez1,gez2,gez3,gez4,gez5,gez7,gez8,gez9,huisa1,huisa2,huisa3,ziek,hziek,kans0,kans1a,kans2a,kans3a,kans4a,kans5a,kans6a,ij2,ij161,ij16br,ij181,ij241,ij162,ij16br2,ij182,ij242,ij163,ij16br3,ij183,ij243,j16a,j16abra,j16b,iz1,iz14,iz15,iz16,iz16bra,iz18,iz19,iz24,iz37,iz38,iz38br,iz40,iz41,ip20,ip21,ip22,ip23,ip24,inp27a,ip41,ip4bra,ip71,ip42,ip4bra2,ip72,ip43,ip4bra3,ip73,ip44,ip4bra4,ip74,ii20,ii21,ii22,ii23,ii41,ii4br,ii61,ii42,ii4br2,ii62,ii43,ii4br3,ii63,is20,is21,is22,is23,is24,is25,is26,is27,is28,is29,is210,is211,is41,is4br,is61,is42,is4br2,is62,is43,is4br3,is63,is44,is4br4,is64,is45,is4br5,is65,is46,is4br6,is66,is47,is4br7,is67,is48,is4br8,is68,is4n,is4brn,is4n2,is4brn2,is4n3,is4brn3,io20,io21,io22,io23,io24,io25,io26,io27,io28,io48a,io48c,io41,io4br,io42,io4br2,io43,io4br3,io44,io4br4,io45,io4br5,io46,io4br6,io47,io4br7,io48,io4br8,io48b,io4br9,io48d,io4br10,in25,in26,in11a,in12a,in29a,in29b,in29,in30,in32,in33,in35,in36,in38,in39,in41a,in42,he070,he067,he068,he069,in45,in46,in48,in2012,in16,in18,in20,in22,in49a,in50,psy1,psy2,psy3,psy4,psy5,psy6,gebeur1,gebeur2,gebeur3,gebeur4,gebeur5,gebeur6,gebeur7,gebeur8,gebeur9,laag,hoog,pro1,pro2,pro3,pro4,dnbbaan,laagpr,hoogpr,pr0,pr1a,pr2a,pr3a,pr4a
173,1,201225,193,96,2,3,2,3, ,2, , , ,2, ,9,9,8, , , , ,1,42436, , ,1, , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,2,2, , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , ,2, ,2, ,2, ,2, ,1,6000,2, ,2, ,2,1,121,2,1,5,2, , , ,1,37844, , ,28000, , , , , , , ,0,0,0,0,0,0,0,1,0,0,30000,0,0,0,80,25,0,10,5,0,6,10,5
175,1,201220,176,81,3,3,2,3, ,2,2,2,0, , , , , , , ,5,0,0, , , , , , , , , , , , , , , ,2, , , , , , , , , , , , ,2,2,1,1,2,1, , , ,9445, , ,21081, , , , , ,1,2,2,2, , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , ,2, ,2, ,2, ,-7, ,-7, ,2, ,2, ,2,1,-9,2,2,2,-7, , , ,1,31035, , ,-9,6, , , , , , ,0,0,0,0,0,0,1,0,0,18000,24000,20,10,30,35, ,2.4,4,3,95,0,50,90
262,2,201220,183,82,2,3,2,3, ,2,0,4,0, , , , , , ,5,2, ,0, , , , , , , , , , , , , , , ,2, , , , , , , , , , , , ,2,1,1,2,2, ,29039, , ,9445, , , , , , , , ,1,2,2,2, , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,1,1, , , , , , , , , , , , , , , , ,6459, ,607, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2,1,242,2,1,1,2, , , ,1,30539, , ,37975, , , , , , , ,0,0,0,0,0,0,0,1,0,32000,38000,20,50,80,90, ,2.5,3.5,2,1,5,10,1
268,1,201220,168,80,2,4,2,3, ,2, ,5, , , , , ,8,8, , , ,0, , , , , , , , , , , , , , , ,2, , , , , , , , , , , , ,2,2,1,1,2,1, , , ,16700, , ,21300, , , , , ,1,2,2,2, , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , ,2, ,2, ,2, ,-7, ,-7, ,2, ,2, ,2,1,256,2,1,1,-7, , , ,1,38000, , ,22000, , , , , , , ,0,0,0,0,0,0,0,1,0,20000,22000,50,40,30,20, ,1,3,3,0,25,10,5
268,2,201220,165,50,3,3,2,2,1,2, ,2, , , , , ,0,0, , , ,0, , , , , , , , , , , , , , , ,2, , , , , , , , , , , , ,1,2,2,2,2, , , , , , , , , , , , , ,1,2,2,2, , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , ,2, ,2, ,2, ,-7, ,-7, ,2, ,2, ,2,1,256,2,1,1,-7, , , ,2, , , ,22000, , , , , , , ,0,0,0,0,0,0,0,1,0,21000,23000,2,5,10,50, ,0,3,3,0,10,40,50
338,2,201220,172,83,3,3,2,3, ,2,0,2,0, , , , ,7,5, , , ,0, , , , , , , , , , , , , , , ,2, , , , , , , , , , , , ,2,2,2,1,2, , , , , , , ,9,3, , , , ,1,2,2,2, , , , , , , , , ,2,1,2,2,2,2,2,2,2,2,2,2,12000, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , ,2, ,2, ,2, ,-7, ,-7, ,2, ,2, ,2,1,134,2,1,1,-7, , , ,1,21000, , ,21000, , , , , , , ,0,0,0,0,0,0,0,1,0,21000,21000,,,,, ,3.5,6,4,0,50,50,0
339,2,201220,164,75,3,3,1,3, ,2,5,3,0, , , , , ,6,6, , ,0, , , , , , , , , , , , , , , ,2, , , , , , , , , , , , ,2,2,1,1,2,1, , , ,18890, , ,12331, , , , , ,1,2,2,2, , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , ,2, ,2, ,2, ,-7, ,-7, ,2, ,2, ,2,1,232,2,1,1,-7, , , ,1,30714, , ,-9,7, , , , , , ,0,0,0,0,1,0,0,0,0,1800,2100,0,5,15,25, ,2,3,3,0,0,0,0
357,2,201220,170,95,2,2,1,3, ,2,5,2,0,1,10, ,9,8, , , , ,1,30526, , ,1, , , , , , , , , , , ,2, , , , , , , , , , , , ,1,2,2,2,2, , , , , , , , , , , , , ,1,2,2,2, , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,1, , , , , , , , , , , , , , , , , , ,2200, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2,1,216,2,1,1,2, , , ,1,28772, , ,40800, , , , , , , ,0,0,0,0,0,0,0,1,0,40000,40800,50,60,70,100,50,1,5,5,0,0,0,0
365,2,201220,172,95,2,3,1,3, ,2,2,2,0, , , ,8,6, , , , ,1,12024, , ,1, , , , , , , , , , , ,2, , , , , , , , , , , , ,1,2,2,2,2, , , , , , , , , , , , , ,1,2,2,2, , , , , , , , , ,2,2,1,2,2,2,2,2,2,2,2,2, , , ,8643, , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , ,2, ,2, ,1,-9,-7, ,-7, ,2, ,2, ,2,1,115,2,1,1,2, , , ,2, , , ,-9,8, , , , , , ,0,0,0,0,0,0,0,1,0,30000,36000,20,35,50,20, ,1,2,2,0,0,20,0
371,1,201220,176,83,1,3,2,3, ,1, ,1, , , , , ,4,2, , , ,0, , , , , , , , , , , , , , , ,2, , , , , , , , , , , , ,2,2,1,1,2,1, , , ,9445, , ,32836, , , , , ,1,2,2,2, , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , ,2, ,2, ,1,2664,-7, ,-7, ,2, ,2, ,2,1,232,2,2,-9,-7, , , ,1,40836, , ,57235, , , , , , , ,0,0,0,0,0,0,0,1,0,54000,54500,10,10,10,25, ,2.5,3,3,0,10,10,2
