nohhold,nomem,weeknr,gez1,gez2,gez3,gez4,gez5,gez7,gez8,gez9,huisa1,huisa2,huisa3,ziek,hziek,kans0,kans1a,kans2a,kans3a,kans4a,kans5a,kans6a,ij2,ij161,ij16br,ij181,ij241,ij162,ij16br2,ij182,ij242,ij163,ij16br3,ij183,ij243,j16a,j16abra,j16b,iz1,iz14,iz15,iz16,iz16bra,iz18,iz19,iz24,iz37,iz38,iz38br,iz40,iz41,ip20,ip21,ip22,ip23,ip24,inp27a,ip41,ip4bra,ip71,ip42,ip4bra2,ip72,ip43,ip4bra3,ip73,ip44,ip4bra4,ip74,ii20,ii21,ii22,ii23,ii41,ii4br,ii61,ii42,ii4br2,ii62,ii43,ii4br3,ii63,is20,is21,is22,is23,is24,is25,is26,is27,is28,is29,is210,is211,is41,is4br,is61,is42,is4br2,is62,is43,is4br3,is63,is44,is4br4,is64,is45,is4br5,is65,is46,is4br6,is66,is47,is4br7,is67,is48,is4br8,is68,is4n,is4brn,is4n2,is4brn2,is4n3,is4brn3,io20,io21,io22,io23,io24,io25,io26,io27,io28,io48a,io48c,io41,io4br,io42,io4br2,io43,io4br3,io44,io4br4,io45,io4br5,io46,io4br6,io47,io4br7,io48,io4br8,io48b,io4br9,io48d,io4br10,in25,in26,in11a,in12a,in29a,in29b,in29,in30,in32,in33,in35,in36,in38,in39,in41a,in42,he070,he067,he068,he069,in45,in46,in48,in2012,in16,in18,in20,in22,in49a,in50,psy1,psy2,psy3,psy4,psy5,psy6,gebeur1,gebeur2,gebeur3,gebeur4,gebeur5,gebeur6,gebeur7,gebeur8,gebeur9,laag,hoog,pro1,pro2,pro3,pro4,dnbbaan,laagpr,hoogpr,pr0,pr1a,pr2a,pr3a,pr4a
10317,1,201220,167,82,2,3,2,3, ,2,0,2,0,2, , ,10,9, , , , ,1,38511, , ,1, , , , , , , , , , , ,2, , , , , , , , , , , , ,1,2,2,2,2, , , , , , , , , , , , , ,1,2,2,2, , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , ,2, ,2, ,2, ,-7, ,-7, ,2, ,2, ,2,1,95,2,1,6,2, , , ,1,38382, , ,38382, , , , , , , ,0,0,0,0,0,0,0,1,0,37000,39000,1,3,2,0,3,2,4,3,0,0,2,1
10322,2,201225,175,74,2,3,2,2,2,1,0,0,0, , , ,7,6, , , , ,1,43000, , ,3, , , , , , , , , , , ,1,1,1,-9,3,2, ,1,1,-9,3,2, ,1,2,2,2,2, , , , , , , , , , , , , ,1,2,2,2, , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , ,2, ,2, ,1,-9,2, ,2, ,2, ,2, ,2,1,87,2,2,3,2, , , ,1,-9,8, ,2000, , , , , , , ,0,0,1,0,0,0,0,0,0,1800,2000,50,50,50,50,0,5,6,5,0,50,20,0
10353,1,201225,165,65,2,4,2,3, ,1, , , ,2, ,6,3,0, , , , ,1,-9,4, ,1, , , , , , , , , , , ,2, , , , , , , , , , , , ,1,2,2,2,2, , , , , , , , , , , , , ,1,2,2,2, , , , , , , , , ,2,2,2,2,2,2,2,2,2,1,2,2, , , , , , , , , , , , , , , , , , , , , , , , ,-9,1, , , , ,2,2,1,2,2,2,2,2,2,2,1, , ,-9,2, , , , , , , , , , , , , , ,-9,1,2, ,2, ,2, ,-7, ,-7, ,2, ,2, ,2,1,-9,1,2,-9,1,-9,12,1,1,-9,7, ,-9,8, , , , , , ,0,0,0,0,0,0,0,1,0,20000,25000,50,50,60,60,70,1,2,2,0,0,60,0
10367,1,201220,175,90,1,3,2,3, ,2,0,6,0, , , , , ,8,3, , ,0, , , , , , , , , , , , , , , ,2, , , , , , , , , , , , ,2,2,1,1,1,1, , , ,9083, , ,7754, , ,6657, , ,1,2,2,2, , , , , , , , , ,2,2,2,2,2,2,2,2,2,1,2,2, , , , , , , , , , , , , , , , , , , , , , , , ,1047, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, ,2, ,2, ,-7, ,-7, ,2, ,2, ,2,1,244,2,1,1,-7, , , ,1,19777, , ,29300, , , , , , , ,0,0,0,0,0,0,0,1,0,29300,29300,,,,, ,4.8,6.7,6,30,40,20,5
10367,2,201220,160,79,2,3,2,3, ,2,3,5,0, , , , ,8,7, , , ,0, , , , , , , , , , , , , , , ,2, , , , , , , , , , , , ,2,2,1,1,1,1, , , ,9445, , ,443, , ,2010, , ,1,2,2,2, , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,1, , , , , , , , , , , , , , , , , , ,159, ,2, ,2, ,1,38,-7, ,-7, ,2, ,2, ,2,1,0,2,1,1,-7, , , ,1,11898, , ,29375, , , , , , , ,0,0,0,0,0,0,0,1,0,29000,30000,0,4,90,95, ,2.5,4,3,0,20,50,5
10380,1,201220,192,84,2,3,2,2,1,2,0,0,0, , , ,7,7, , , , ,0, , , , , , , , , , , , , , , ,1,2,1,5000, ,2, ,1,1,12000, ,2, ,1,2,2,2,2, , , , , , , , , , , , , ,1,2,2,2, , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , ,1,5000,2, ,2, ,-7, ,-7, ,2, ,2, ,2,1,-9,1,1,-9,-7, , , ,1,-9,-9,-9,-9,2, , , , , , ,0,0,0,0,0,0,0,1,0,5000,12000,50,50,50,50,50,3,8,3,0,25,25,25
10383,1,201220,167,95,2,3,2,3, ,2,4,2,0,1,3,9,9,8, , , , ,1,15365, , ,1, , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,2,2, , , , , , , , , ,2,2,2,2,2,2,2,2,2,1,2,1, , , , , , , , , , , , , , , , , , , , , , , , ,836, , , ,1466, ,1,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2,1,154,2,1,1,2, , , ,2, , , ,11000, , , , , , , ,1,0,1,0,0,0,1,0,0,11000,12000,80,80,80,80,100,2,3,2,0,0,70,1
10387,1,201220,178,80,2,3,1,3, ,2,0,3,0, , , , , , , ,3,1,0, , , , , , , , , , , , , , , ,2, , , , , , , , , , , , ,2,2,1,2,2, , , , ,-9,5, , , , , , , ,1,2,2,2, , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , ,2, ,2, ,2, ,-7, ,-7, ,2, ,2, ,2,1,114,2,1,1,-7, , , ,2, , , ,-9,8, , , , , , ,0,0,0,0,0,0,0,1,0,25000,26000,0,0,0,0, ,1,3,1,0,50,10,0
10387,2,201220,176,82,1,3,2,3, ,2,0,0,0, , , , , , ,6,4, ,0, , , , , , , , , , , , , , , ,2, , , , , , , , , , , , ,2,2,1,1,2,1, , , ,-9,5, ,9,5, , , , ,1,2,2,2, , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , ,2, ,2, ,2, ,-7, ,-7, ,2, ,2, ,2,1,111,2,1,1,-7, , , ,1,-9,6, ,2300, , , , , , , ,0,0,0,0,0,0,0,1,0,2300,2300,,,,, ,0.5,1.5,1,85,25,10,7
10397,1,201220,172,89,4,2,1,3, ,2,4,6,0, , , ,5,5, , , , ,1,-9,4, ,3, , , , , , , , , , , ,2, , , , , , , , , , , , ,1,2,2,2,2, , , , , , , , , , , , , ,2,1,2,2,-9,5, , , , , , , ,1,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , ,2, ,2, ,2, ,-7, ,-7, ,2, ,2, ,2,1,147,1,1,1,2, , , ,2, , , ,-9,6, , , , , , ,0,0,0,0,1,0,0,0,0,1600,1700,20,30,50,50, ,2,5,2,10,30,50,10
10405,2,201220,175,82,3,3,2,1, ,2,0,0,0, , , , ,6,4, , , ,0, , , , , , , , , , , , , , , ,2, , , , , , , , , , , , ,2,1,2,2,2, ,29000, , , , , , , , , , , ,1,2,2,2, , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2,4,1300,2,2,1,-7, , , ,2, , , ,-9,7, , , , , , ,0,0,0,0,0,0,0,1,0,21000,22000,0,0,0,0, ,2,3,3,0,20,30,1
10418,1,201220,169,75,3,4,1,2,1,2,2,3, , , , , , ,5,2, , ,0, , , , , , , , , , , , , , , ,2, , , , , , , , , , , , ,2,2,1,1,2,1, , , ,8456, , ,7652, , , , , ,1,2,2,2, , , , , , , , , ,2,2,2,2,2,2,2,2,2,1,2,2, , , , , , , , , , , , , , , , , , , , , , , , ,976, , , , , ,1,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2,1,114,2,2,1,-7, , , ,1,31289, , ,2215, , , , , , , ,0,0,0,0,0,0,0,1,0,2200,2300,40,30,60,70, ,4.5,5,4,0,0,65,70
10418,2,201225,171,82,2,3,2,2,1,2,2,1,0,1,8, ,6,4, , , , ,1,32165, , ,2, , , , , , , , , , , ,2, , , , , , , , , , , , ,1,2,2,2,2, , , , , , , , , , , , , ,2,1,2,2,-9,1, , , , , , , ,2,2,2,2,2,2,2,2,2,1,2,2, , , , , , , , , , , , , , , , , , , , , , , , ,948, , , , , ,2,2,2,2,2,2,2,2,2,2,1, , , , , , , , , , , , , , , , , , ,355, ,2, ,2, ,2, ,-7, ,-7, ,2, ,2, ,2,1,224,2,1,1,2, , , ,2, , , ,-9,8, , , , , , ,0,0,0,0,0,0,0,1,0,27500,28000,20,20,20,20,1,4.5,6.2,5,0,5,70,10
10492,1,201220,174,76,2,3,2,3, ,2,0,1,0, , , , ,7,5, , , ,1,9035, , ,1, , , , , , , , , , , ,2, , , , , , , , , , , , ,2,2,1,1,2,1, , , ,7549, , ,18304, , , , , ,1,2,2,2, , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , ,2, ,2, ,2, ,-7, ,-7, ,2, ,2, ,2,1,137,2,1,1,2, , , ,1,34854, , ,-9,10, , , , , , ,0,0,0,0,0,0,1,0,0,70000,77000,30,40,50,60, ,0.5,3.5,2,10,50,20,10
10492,2,201220,192,90,2,3,2,3, ,2,0,0,0,2, , ,7,4, , , , ,1,71989, , ,1, , , , , , , , , , , ,2, , , , , , , , , , , , ,1,2,2,2,2, , , , , , , , , , , , , ,1,2,2,2, , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,1,1, , , , , , , , , , , , , , , , ,-9,1,-9,1,2, ,2, ,2, ,-7, ,-7, ,2, ,1,10000,2,1,250,2,1,1,2, , , ,1,75193, , ,60000, , , , , , , ,0,0,0,0,0,0,0,1,0,55000,62000,10,20,35,50,1,2,3.5,2,1,10,25,15
10513,1,201220,194,100,2,3,2,1, ,2, , , ,2, , ,8,7, , , , ,1,-9,6, ,3, , , , , , , , , , , ,2, , , , , , , , , , , , ,1,2,2,2,2, , , , , , , , , , , , , ,1,2,2,2, , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , ,2, ,2, ,1,-9,2, ,2, ,2, ,2, ,2,1,-9,2,1,1,2, , , ,1,-9,8, ,-9,8, , , , , , ,0,0,0,0,0,0,0,1,0,32000,36000,10,25,25,40,5,3,5,3,15,40,20,5
10513,2,201220,156,62,1,3,2,3, ,2, , , , , ,9,8,7, , , , ,0, , , , , , , , , , , , , , , ,2, , , , , , , , , , , , ,1,2,2,2,2, , , , , , , , , , , , , ,1,2,2,2, , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2,1,-9,1,2,1,-7, , , ,1,0, , ,-9,9, , , , , , ,0,0,0,0,0,0,0,1,0,36000,44000,15,20,20,25, ,3.5,6,3,5,15,25,20
10513,3,201220,178,75,1,3,2,3, ,2, , , , , ,9,8,7, , , , ,0, , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,2,2, , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2,1,-9,1,2,1,2, , , ,2, , , , , , , , , , , ,0,0,0,0,0,0,0,1,0,35000,40000,10,25,25,15, ,4,5,3,5,15,25,15
10539,1,201220,163,87,2,3,2,3, ,2,2,2,0,1,6,7,5,4, , , , ,1,53000, , ,3, , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,2,2, , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , ,1800, , , ,1,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , ,2, ,2, ,2, ,-7, ,2, ,2, ,2, ,2,1,127,2,1,1,2, , , ,1,-9,7, ,44000, , , , , , , ,0,0,0,0,0,0,0,1,0,44000,46000,0,0,20,60,20,2,3,2,0,10,0,0
10539,3,201220,184,100,2,3,2,3, ,2,0,1,0,1,5,9,7,4, , , , ,1,1600, , ,3, , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,2,2, , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2,1,130,2,1,-9,2, , , ,1,-9,-9,20000,-9,10, , , , , , ,0,0,0,0,0,0,0,1,0,60000,80000,0,50,50,0,10,2.5,5,4,90,80,40,10
10567,2,201225,180,72,3,3,1,3, ,2, ,2, , , , , , , , ,1,0,0, , , , , , , , , , , , , , , ,2, , , , , , , , , , , , ,2,2,1,1,2,1, , , ,9445, , ,25000, , , , , ,1,2,2,2, , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,1, , , , , , , , , , , , , , , , , , ,10000, ,2, ,2, ,2, ,2, ,-7, ,2, ,2, ,2,1,245,2,1,1,2, , , ,1,35000, , ,40000, , , , , , , ,0,0,0,0,0,0,0,1,0,35000,40000,10,20,40,50, ,3,6,3,60,5,5,2
10607,1,201220,172,70,4,4,1,3, ,2,0,0,0, , , , , , , , ,0,0, , , , , , , , , , , , , , , ,2, , , , , , , , , , , , ,2,2,1,1,2,1, , , ,9445, , ,38724, , , , , ,1,2,2,2, , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,1, , , , , , , , , , , , , , , , , , ,-9,3,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2,4,3019,2,2,1,-7, , , ,1,48713, , ,-9,8, , , , , , ,0,0,0,0,0,0,0,1,0,35000,40000,80,85,90,100, ,5,10.6,5,80,0,10,0
10615,1,201220,158,80,2,1,2,3, ,2,8,6,1, , , ,7,2, , , , ,0, , , , , , , , , , , , , , , ,2, , , , , , , , , , , , ,1,2,2,2,2, , , , , , , , , , , , , ,1,2,2,2, , , , , , , , , ,2,2,2,2,2,2,2,2,2,1,2,2, , , , , , , , , , , , , , , , , , , , , , , , ,700, , , , , ,1,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , ,2, ,2, ,2, ,-7, ,-7, ,2, ,2, ,2,1,124,1,1,1,-7, , , ,2, , , ,16000, , , , , , , ,0,0,0,0,0,0,0,1,0,15000,18000,0,0,20,50,0,4.2,8.9,10,0,50,10,10
10615,2,201220,187,90,2,3,1,2,1,2,0,2,0, , , ,7,3, , , , ,0, , , , , , , , , , , , , , , ,2, , , , , , , , , , , , ,1,2,2,2,2, , , , , , , , , , , , , ,1,2,2,2, , , , , , , , , ,2,2,1,2,2,1,2,2,2,2,2,2, , , ,19800, , , , , , , , ,650, , , , , , , , , , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , ,2, ,2, ,2, ,-7, ,-7, ,2, ,2, ,2,1,124,1,1,1,-7, , , ,1,19000, , ,1400, , , , , , , ,0,0,0,0,0,0,0,1,0,18000,21000,10,20,30,0, ,6.5,9.9,10,0,10,10,0
10656,1,201220,174,82,2,4,2,3, ,2,0,1,0,1,2, ,8,7, , , , ,1,65000, , ,3, , , , , , , , , , , ,2, , , , , , , , , , , , ,1,2,2,2,2, , , , , , , , , , , , , ,1,2,2,2, , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , ,2, ,2, ,2, ,-7, ,-7, ,2, ,2, ,2,1,89,1,2,1,2, , , ,1,52933, , ,39000, , , , , , , ,0,0,0,0,0,0,0,1,0,36000,38000,5,10,20,40,10,2,3,2,5,10,25,5
10660,2,201220,181,90,3,4,1,3, ,2, ,2, , , , , ,5,5, , , ,0, , , , , , , , , , , , , , , ,2, , , , , , , , , , , , ,2,2,1,1,2,1, , , ,9445, , ,23651, , , , , ,1,2,2,2, , , , , , , , , ,2,2,2,2,2,2,2,2,2,1,2,2, , , , , , , , , , , , , , , , , , , , , , , , ,400, , , , , ,1,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , ,2, ,2, ,2, ,-7, ,-7, ,2, ,2, ,2,1,-9,1,1,1,-7, , , ,1,29560, , ,37765, , , , , , , ,0,0,0,0,0,0,0,1,0,37765,37765,,,,, ,3,5,2,50,0,75,50
10661,1,201220,176,95,2,3,2,3, ,2, ,3, ,2, ,8,6,4, , , , ,2,60000, , ,3,40000, , ,3, , , , , , , ,2, , , , , , , , , , , , ,1,2,2,2,2, , , , , , , , , , , , , ,1,2,2,2, , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , ,2, ,2, ,2, ,2, ,2, ,1,4000,2, ,2,1,130,2,1,1,1,40000,11,1,1,100000, , ,60000, , , , , , , ,1,0,0,0,0,0,0,0,0,55000,55000,,,,,0,1,3,2,50,20,25,10
10675,1,201220,174,72,2,3,2,3, ,2,3,3,0,2, , ,9,8, , , , ,1,32980, , ,1, , , , , , , , , , , ,2, , , , , , , , , , , , ,1,2,2,2,2, , , , , , , , , , , , , ,1,2,2,2, , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , ,2, ,2, ,2, ,2, ,2, ,1,2100,2, ,2,1,492,2,1,1,2, , , ,1,27592, , ,37500, , , , , , , ,0,0,0,0,0,0,0,1,0,32000,35000,0,20,35,100,10,2.3,4,4,0,50,100,0
10679,1,201220,180,81,1,3,1,3, ,2, ,3,2, , , , , ,7,5, , ,0, , , , , , , , , , , , , , , ,2, , , , , , , , , , , , ,2,2,1,1,2,1, , , ,16347, , ,11857, , , , , ,1,2,2,2, , , , , , , , , ,2,2,2,2,2,2,2,2,2,1,2,2, , , , , , , , , , , , , , , , , , , , , , , , ,-9,1, , , , ,1,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , ,2, ,2, ,2, ,-7, ,-7, ,2, ,2, ,2,1,115,2,1,1,2, , , ,1,23280, , ,25661, , , , , , , ,0,0,0,0,0,0,0,1,0,25000,26000,25,10,5,3, ,3.2,5,4,25,40,60,50
10679,2,201220,159,76,2,4,1,3, ,2, ,3, , , , , ,10,10, , , ,0, , , , , , , , , , , , , , , ,2, , , , , , , , , , , , ,2,2,1,2,2, , , , ,2245, , , , , , , , ,1,2,2,2, , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , ,2, ,2, ,2, ,-7, ,-7, ,2, ,2, ,2,1,102,2,1,1,-7, , , ,2, , , ,25661, , , , , , , ,0,0,0,0,0,0,1,0,0,25750,25750,,,,, ,3.2,3.6,3,10,50,1,0
10708,2,201220,177,76,3,3,1,1, ,2,1,6,0, , , , , , ,5,2, ,0, , , , , , , , , , , , , , , ,2, , , , , , , , , , , , ,2,1,1,1,2,1,0, , ,9000, , ,1000, , , , , ,1,2,2,2, , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2,1,240,2,1,1,2, , , ,1,-9,5, ,21000, , , , , , , ,0,0,0,0,0,0,0,1,0,20000,20000,,,,, ,2,3,2,0,0,10,0
10736,1,201220,158,72,2,2,2,3, ,2,0,3,0, , , , ,8,6, , , ,1,36000, , ,1, , , , , , , , , , , ,2, , , , , , , , , , , , ,1,2,2,2,2, , , , , , , , , , , , , ,1,2,2,2, , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , ,2, ,2, ,2, ,2, ,2, ,2, ,1,1500,2,1,-9,2,1,1,2, , , ,1,35683, , ,20000, , , , , , , ,0,0,0,0,0,0,0,1,0,20000,20000,,,,, ,3,5,3,0,0,50,50
10740,1,201220,167,78,2,3,2,3, ,2,0,5,0, , , , ,7,7, , , ,0, , , , , , , , , , , , , , , ,2, , , , , , , , , , , , ,2,2,1,1,2,1, , , ,8902, , ,697, , , , , ,1,2,2,2, , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,1,1, , , , , , , , , , , , , , , , ,33, ,-9,2,2, ,2, ,2, ,-7, ,2, ,1,1500,2, ,2,1,125,2,1,1,2, , , ,1,9599, , ,55000, , , , , , , ,0,0,0,0,0,0,0,1,0,53000,54000,90,85,80,78, ,2,5,3,30,50,40,20
10763,1,201220,183,73,2,3,2,3, ,2, ,2, , , , , , , , ,6,2,0, , , , , , , , , , , , , , , ,2, , , , , , , , , , , , ,2,1,1,2,2, ,54000, , ,9500, , , , , , , , ,1,2,2,2, , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,1,2, , , , , , , , , , , , , , , , ,22000, , , ,2, ,2, ,2, ,-7, ,2, ,2, ,2, ,2,4,-9,2,1,1,-7, , , ,1,70000, , ,-9,10, , , , , , ,0,0,0,0,0,0,0,1,0,50000,51000,0,0,0,0, ,4,5,5,10,20,5,5
10764,1,201220,176,78,2,3,2,3, ,2,3,2,0, , , , , , ,5,2, ,0, , , , , , , , , , , , , , , ,2, , , , , , , , , , , , ,2,2,1,1,2,1, , , ,13543, , ,26350, , , , , ,1,2,2,2, , , , , , , , , ,2,2,2,2,2,2,2,2,2,1,2,2, , , , , , , , , , , , , , , , , , , , , , , , ,98, , , , , ,2,2,2,2,2,2,2,2,2,2,1, , , , , , , , , , , , , , , , , , ,196, ,2, ,2, ,2, ,-7, ,-7, ,2, ,2, ,2,1,151,1,1,1,-7, , , ,1,37505, , ,33523, , , , , , , ,0,0,0,0,0,0,0,1,0,33000,33500,10,15,50,30, ,2.6,3,2,0,30,25,5
10772,2,201220,169,72,2,3,2,3, ,2,0,3,0, , , ,7,7, , , , ,0, , , , , , , , , , , , , , , ,1,2,1,-9,-9,2, ,1,2,-9,-9,2, ,1,2,2,2,2, , , , , , , , , , , , , ,1,2,2,2, , , , , , , , , ,2,2,2,2,2,2,2,2,2,1,2,2, , , , , , , , , , , , , , , , , , , , , , , , ,900, , , , , ,2,2,2,2,2,2,2,2,2,2,1, , , , , , , , , , , , , , , , , , ,600, ,2, ,2, ,2, ,-7, ,-7, ,2, ,2, ,2,1,110,2,1,1,-7, , , ,1,2200, , ,26000, , , , , , , ,0,0,0,0,0,0,0,1,0,26000,30000,10,20,30,40, ,1.5,2,2,10,50,20,20
10774,1,201220,165,49,3,4,1,2,1,2, ,2, , , , ,5,4, , , , ,0, , , , , , , , , , , , , , , ,2, , , , , , , , , , , , ,1,2,2,2,2, , , , , , , , , , , , , ,1,2,2,2, , , , , , , , , ,2,2,2,2,2,2,2,2,2,1,2,2, , , , , , , , , , , , , , , , , , , , , , , , ,828, , , , , ,1,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , ,2, ,2, ,2, ,-7, ,-7, ,2, ,2, ,2,1,113,2,1,1,-7, , , ,1,-9,4, ,-9,4, , , , , , ,0,0,0,0,0,0,0,1,0,13000,13500,0,0,50,99, ,3,5,3,100,100,40,50
10776,1,201225,178,71,1,3,2,3, ,2,0,3,0, , , ,8,7, , , , ,0, , , , , , , , , , , , , , , ,1,2,1,-9,-9,2, ,1,1,-9,2,2, ,2,1,2,2,1, ,49600, , , , , , , , ,6650, , ,1,2,2,2, , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , ,2, ,2, ,1,-9,-7, ,-7, ,2, ,2, ,2,1,144,2,1,1,-7, , , ,2, , , ,-9,8, , , , , , ,0,0,0,0,0,0,0,1,0,60000,30000,,,,,0,1,1.5,1,50,80,10,0
