nohhold,nomem,weeknr,inkhh,inknorm,inkrond,finsitu,inkeven,inkaank,inksec,loan1,loan2,loan3,ink25a,ink25b,ink25c,ecsit,zinvol,opzij,hoevopzy,opzij12,spaarm01,spaarm02,spaarm03,spaarm04,spaarm05,spaarm06,spaarm07,spaarm08,spaarm09,spaarm10,spaarm11,spaarm12,spaarm13,spaarm14,spaarm15,spaarm16,spaar1,spaar2,spaar3,spaar4,spaar5,spaar6,beschryf,toek01,toek02,toek03,toek04,toek05,toek06,toek07,toek08,toek09,toek10,toek11,toek12,uitgeven,plannen,periode1,bijhoud,potjes,pin1,pin2,chip1,chip2,autom,foon,smart,intern,zon,her1,her2,her3,her4,baby,plan,uitspr,hhrela,beslis,geldh,geluk,kenltd,kenhh,kenink,kenopl,kenwerk,manuur,vrouwuur,kunde,advies,con01,con02,con03,con04,con05,con06,con07,con08,con09,con10,con11,con12,con13,con14,con15,con16,con17,con18,con19,con20,con21,con22,con23,con24,con25,con26,con27,con28,con29,con30,con31,con32,con33,con34,con35,con36,con37,con38,con39,con40,con41,con42,con43,con44,con45,con46,con47,con48,con49,con50,work01,work02,work03,work04,work05,work06,work07,work08,work09,jeugd1,jeugd2,jeugd3,jeugd4,jeugd5,jeugd6,MHI001,MHI002,MHI003,MHI004,MHI005,toek01_x,toek02_x,toek03_x,toek04_x,toek05_x,toek06_x,toek07_x,toek08_x,toek09_x,toek10_x,toek11_x,toek12_x,jeugd1_x,jeugd2_x,jeugd3_x,jeugd4_x,jeugd5_x,jeugd6_x
434,1,201417,4,2,3,3,2, , ,1,5,2,3,2, ,2,3,2, ,3,1,3,1,1,2,1,1,3,1,3,3,1,4,4,1,1,1,4,1,4,4,1,1, , , , , , , , , , , , ,3,3,1,3,1,1,1,2, ,2,1,1,5,50,0,0,0,0,1,1,4, , , ,3,13,1,2,3,5,0,0,1,8,3,1,3,2,4,4,2,3,2,4,1,4,2,4,3,2,4,3,2,2,2,4,4,2,4,3,2,4,2,3,4,3,2,3,1,4,1,3,4,2,2,2,2,3,2,4,4,2,1,2, , , , , , , , , , , , , , , ,3,1,4,2,3,5,1,4,5,4,2,3,3,6,3,4,6,3,5,3,4,4,4
461,1,201430,4,2,2,2,2, , ,-7,-9,2,3,2, ,-9,1,1,2,1,-7,-7,7,7,6,5,5,5,7,7,7,1,5,7,7,6,6,7,1,7,1,1,-7, , , , , , , , , , , , ,6,5,3,4,2,1,4,1,2,1,1,3,4,85,50,0,0,20,2, , , , , ,2,7,1,-9,5,4,36,36,2,7,3,2,4,1,5,5,1,5,1,5,1,2,4,4,3,4,3,3,3,1,5,4,3,4,3,3,2,2,2,3,2,4,4,3,2,2,2,4,5,3,3,3,1,5,3,4,4,3,3,3, , , , , , , , , , , , , , , ,4,3,3,4,3,4,5,2,5,4,2,6,5,1,4,5,3,1,4,3,4,2,2
523,1,201417,3,1,3,4,3, , ,2,2,2,4,2, ,3,1,1,1,1,4,6,6,6,7,2,2,7,1,7,7,1,7,7,7,7,4,2,4,5,5,4,3, , , , , , , , , , , , ,7,1,2,4,1,1,2,2, ,2,2,1,4,80,0,0,0,100,1,2,3,1,3,1,2,12,4,8,3,4,40,20,2,6,4,2,5,2,5,5,1,5,2,5,1,2,1,3,3,4,4,2,3,1,3,3,3,4,4,2,3,2,2,4,3,4,2,3,3,2,2,4,4,4,1,3,3,3,2,4,3,3,2,3, , , , , , , , , , , , , , , ,2,2,5,2,5,2,3,4,2,3,2,3,3,5,2,5,4,4,5,3,1,4,1
562,1,201417,5,2,3,3,2, , ,-7,2,2,3,2, ,3,2,2, ,2,1,1,-7,7,7,-7,4,7,1,6,6,-7,5,7,-7,-7,6,3,1,6,5,2,1, , , , , , , , , , , , ,6,1,2,5,2,1,4,2, ,1,1,1,5,20,90,0,0,95,1,1,2,1,2,1,2,13,2,10,6,5,0,0,2,2,4,5,4,1,4,4,1,4,1,5,2,2,4,5,3,4,3,2,5,3,4,4,2,4,3,2,4,1,3,3,3,4,3,2,4,2,3,3,2,4,2,5,4,4,4,4,2,4,1,4, , , , , , , , , , , , , , , ,1,2,5,2,5,5,5,3,2,5,4,6,5,2,4,3,5,4,5,4,4,3,2
571,1,201417,4,2,4,3,1,2, ,2,1,2,3,2, ,3,2,2, ,2,2,4,6,7,6,2,3,7,1,6,6,5,5,7,6,6,6,5,2,6,5,5,1, , , , , , , , , , , , ,6,2,3,4,1,1,3,2, ,3,2,1,5,65,95,70,0,100,1,2,3,1,5,1,1,12,2,8,6,5,36,12,3,3,3,2,1,1,4,4,2,4,1,4,3,1,1,3,2,4,4,2,5,1,2,3,2,4,2,2,4,4,2,3,2,4,2,2,4,1,1,4,4,5,1,1,4,4,2,4,3,4,1,3, , , , , , , , , , , , , , , ,1,1,6,1,6,5,5,3,3,4,3,5,5,3,3,2,3,3,1,3,2,2,1
601,1,201417,5,2,5,5,1,1,3,2,2,2,4,2, ,2,1,1,4,1,5,6,7,6,4,6,5,5,5,6,7,4,5,5,5,5,5,2,3,5,5,4,3, , , , , , , , , , , , ,6,2,3,4,1,1,4,1,2,1,1,1,5,70,100,65,2,100,2, , ,1,3,2,1,4,4,9,6,4,36,20,4,8,4,2,3,4,4,4,2,4,1,4,2,2,3,3,2,4,4,2,4,3,3,4,3,3,2,2,5,2,2,4,2,4,2,2,2,2,2,4,3,3,2,4,3,4,3,4,2,4,2,4,7,6,6,6,6,2,5,6,7, , , , , , ,2,2,5,2,5,5,4,3,4,5,5,5,4,3,2,4,2,1,4,3,2,2,2
628,2,201443,4,2,3,4,2, , ,-7,2,2,3,2, ,2,1,2, ,3,4,7,-7,6,7,-7,4,7,7,6,5,-7,7,7,4,-7,6,6,3,7,5,6,1, , , , , , , , , , , , ,4,4,1,3,1,1,2,2, ,1,1,1,3,50,75,50,25,80,1,2,1,1,4,1,1,12,2,8,4,5,16,8,2,1,5,2,3,2,4,4,2,4,1,5,2,2,1,4,4,5,4,3,4,1,4,3,4,5,5,3,3,3,4,4,3,4,2,3,4,2,2,4,3,5,2,2,4,4,2,5,4,5,2,3, , , , , , , , , , , , , , , ,1,2,5,1,6,4,4,6,7,6,1,4,6,4,4,6,6,4,5,2,4,1,1
633,1,201417,5,2,5,5,3, , ,2,1,2,4,1,5,3,1,1,5,1,5,6,6,6,6,6,6,6,6,6,6,3,5,6,6,6,5,2,3,5,5,3,3, , , , , , , , , , , , ,6,1,4,3,1,1,4,2, ,3,1,1,5,75,75,50,10,99,1,2,2,1,5,1,2,9,3,10,7,4,40,20,3,8,2,4,4,2,4,5,1,4,2,5,1,1,2,5,3,5,4,2,3,1,4,4,4,4,4,2,3,2,2,3,2,4,1,1,3,1,2,3,5,4,2,4,2,4,1,4,4,4,1,3,6,6,6,6,6,5,3,6,5, , , , , , ,2,1,6,2,5,4,5,3,3,5,4,5,4,3,3,3,3,1,2,3,1,1,1
633,2,201417,-9, ,4,4,3, , ,-7,-9,2,4,2, ,3,1,1,-9,1,1,7,1,7,7,1,1,6,5,5,5,1,5,7,1,1, , , , , , , , , , , , , , , , , , , ,4,2,3,1,1,1,2,2, ,3,1,1,3,50,50,50,0,100,1,1,3,1,2,1,1,10,4,-9,6,4,40,30,1,9,3,3,3,2,4,4,3,3,3,3,2,2,2,4,4,4,4,3,3,2,3,4,4,4,4,3,2,2,3,3,4,4,3,2,3,3,2,4,4,4,3,3,2,4,3,3,4,3,2,3,6,6,6,6,4,6,4,6,2, , , , , , ,3,2,5,2,4,1,1,5,4,5,4,5,4,4,4,4,4,4,4,1,2,1,1
633,3,201417, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,4,3,3,3,3,-7, , , , , , , , , , , , ,3,4,1,4,1,1,4,2, ,1,-9,5,4,60,35,10,0,50,2, , ,2, , ,2,3,2,-9,7,4,40,40,2,1,4,2,3,2,4,4,2,4,2,4,2,2,2,4,3,4,4,3,3,2,3,2,4,4,4,2,2,2,2,3,2,4,2,3,2,2,2,4,4,4,2,3,2,4,2,4,4,3,2,3,5,5,5,5,5,1,3,5,2, , , , , , ,3,2,5,3,5,3,3,4,3,3,3,5,3,4,5,5,4,3,4,1,4,2,2
