nohhold,nomem,weeknr,inkhh,inknorm,inkrond,finsitu,inkeven,inkaank,inksec,loan1,loan2,loan3,ink25a,ink25b,ink25c,ecsit,zinvol,opzij,hoevopzy,opzij12,spaarm01,spaarm02,spaarm03,spaarm04,spaarm05,spaarm06,spaarm07,spaarm08,spaarm09,spaarm10,spaarm11,spaarm12,spaarm13,spaarm14,spaarm15,spaarm16,spaar1,spaar2,spaar3,spaar4,spaar5,spaar6,beschryf,toek01,toek02,toek03,toek04,toek05,toek06,toek07,toek08,toek09,toek10,toek11,toek12,uitgeven,plannen,periode1,bijhoud,potjes,pin1,pin2,chip1,chip2,autom,foon,smart,intern,zon,her1,her2,her3,her4,baby,plan,uitspr,hhrela,beslis,geldh,geluk,kenltd,kenhh,kenink,kenopl,kenwerk,manuur,vrouwuur,kunde,advies,con01,con02,con03,con04,con05,con06,con07,con08,con09,con10,con11,con12,con13,con14,con15,con16,con17,con18,con19,con20,con21,con22,con23,con24,con25,con26,con27,con28,con29,con30,con31,con32,con33,con34,con35,con36,con37,con38,con39,con40,con41,con42,con43,con44,con45,con46,con47,con48,con49,con50,work01,work02,work03,work04,work05,work06,work07,work08,work09,jeugd1,jeugd2,jeugd3,jeugd4,jeugd5,jeugd6,MHI001,MHI002,MHI003,MHI004,MHI005,toek01_x,toek02_x,toek03_x,toek04_x,toek05_x,toek06_x,toek07_x,toek08_x,toek09_x,toek10_x,toek11_x,toek12_x,jeugd1_x,jeugd2_x,jeugd3_x,jeugd4_x,jeugd5_x,jeugd6_x
12868,3,201417, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,7,1,7,4,3,1, , , , , , , , , , , , ,5,5,3,2,2,1,4,2, ,1,1,1,5,30,40,10,1,25,1,1,3,2, , ,2,5,4,8,5,4,32,32,2,1,3,3,3,2,4,3,3,4,1,4,3,2,2,3,3,4,3,3,4,2,3,3,3,4,3,3,4,2,3,3,2,4,3,3,4,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,4,5,6,5,4,4,5,2, , , , , , ,2,2,5,1,5,5,5,3,3,5,5,6,5,2,3,2,3,1,4,4,2,2,2
12875,1,201417,2,1,2,2,1,2, ,-7,5,2,3,2, ,-9,-9,1,1,2,-7,5,4,4,5,-7,-7,5,5,5,5,5,5,6,5,5,3,3,3,3,3,3,-7, , , , , , , , , , , , ,4,4,1,3,2,1,3,2, ,3,1,1,3,65,15,5,1,25,1,1,5, , , ,2,10,3,-9,3,4,40,25,2,7,3,3,3,3,3,3,3,3,3,3,2,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3, , , , , , , , , , , , , , , ,2,2,4,2,4,6,6,3,2,4,3,3,4,4,5,4,3,1,4,2,3,1,2
12882,1,201417,6,2,4,4,3, , ,1,1,2,4,2, ,3,1,1,3,1,1,1,5,5,5,1,5,5,1,5,5,1,1,5,5,6,6,7,3,7,1,1,1, , , , , , , , , , , , ,6,2,2,5,2,1,4,1,2,1,1,4,4,50,100,10,0,100,1,1,3,1,3,1,2,7,4,11,5,4,40,12,3,6,4,1,5,1,4,4,1,5,1,4,3,1,1,4,1,4,4,1,4,1,3,1,1,4,5,3,4,1,1,4,1,5,1,3,4,4,1,4,1,4,1,4,3,4,1,4,1,4,1,4,6,6,7,6,7,1,1,6,6, , , , , , ,1,1,5,1,5,5,5,1,1,4,1,4,4,1,1,1,1,1,2,3,2,2,2
12882,2,201417,6,2,4,4,3, , ,1,1,2,5,2, ,3,1,1,3,1,1,1,5,5,5,1,1,5,1,5,5,1,1,5,1,5,1,7,1,6,1,1,1, , , , , , , , , , , , ,7,1,3,4,2,1,4,1,2,1,1,1,4,60,100,50,0,100,1,1,3,1,3,1,2,7,4,11,5,1,60,12,3,8,1,5,3,3,5,3,4,3,3,3,4,1,3,3,1,4,3,1,4,1,4,3,1,4,2,3,4,1,3,4,1,4,2,4,4,1,3,4,1,4,3,1,4,4,2,3,1,4,2,4,5,5,5,4,4,6,1,4,1, , , , , , ,1,1,5,1,5,6,6,4,4,4,4,4,4,4,4,4,4,1,2,3,3,2,2
12883,1,201417,5,2,4,4,3, , ,2,4,2,4,1,3,3,1,1,2,2,6,7,6,2,7,2,3,7,6,7,6,1,2,7,2,6,6,5,2,6,5,4,3, , , , , , , , , , , , ,6,2,4,2,1,1,3,2, ,1,1,1,4,85,99,75,0,100,1,1,2,2,4,1,1,8,3,9,5,4,40,20,4,1,4,4,4,1,3,4,5,4,1,4,3,1,1,4,1,5,4,3,4,1,2,5,2,5,5,2,4,1,3,5,1,5,1,1,5,1,1,5,2,4,1,2,3,5,1,5,2,4,1,5,5,6,7,7,6,1,4,5,2, , , , , , ,1,1,5,1,5,7,5,5,6,6,6,7,7,5,6,2,2,4,1,4,2,3,3
12887,1,201417,4,2,3,4,3, , ,-7,2,2,3,2, ,4,2,1,2,1,-7,-7,2,6,6,4,6,6,-7,7,3,1,-7,6,6,6,5,4,1,5,3,3,2, , , , , , , , , , , , ,5,4,3,3,2,1,4,1,2,1,1,4,4,20,80,60,0,100,2, , , , , ,2,7,4,-9,6,4,36,30,2,1,3,4,2,2,4,5,5,3,3,2,3,1,3,3,1,5,3,2,2,4,4,4,2,4,3,4,4,1,4,3,5,4,3,2,3,1,4,5,2,4,4,4,4,4,4,2,3,4,3,4,7,5,6,6,3,6,5,4,5, , , , , , ,2,3,3,2,4,3,3,5,5,5,5,5,4,4,6,5,5,1,4,4,2,3,2
12889,1,201417,4,2,4,4,3, , ,2,4,2,4,2, ,2,2,1,3,2,2,6,-7,6,6,1,2,4,2,6,2,-7,4,7,2,2,1,1,1,1,1,1,-7, , , , , , , , , , , , ,5,2,1,1,1,1,4,2, ,3,1,1,4,50,90,50,0,99,1,1,3,1,4,1,2,13,2,-9,4,5,5,2,3,9,2,3,2,1,3,4,3,3,2,4,3,2,2,4,3,4,4,2,4,1,3,4,2,4,4,2,4,2,2,4,2,4,3,2,4,2,2,4,3,4,2,2,4,4,2,3,3,4,2,3, , , , , , , , , , , , , , , ,2,2,5,1,5,4,4,5,4,5,2,4,2,4,6,4,4,4,5,2,4,4,3
12891,2,201417,4,2,3,2,1,1,2,1,1,2,3,2, ,3,1,1,2,1,3,5,6,6,4,4,3,5,3,6,6,2,4,6,6,6,5,5,1,4,3,3,2, , , , , , , , , , , , ,6,4,2,3,1,1,4,1,2,1,3,1,5,30,10,1,0,50,1,1,3,1,3,1,1,10,3,-9,5,4,40,20,1,8,2,4,3,3,4,4,3,2,3,3,2,2,3,4,3,5,4,4,4,2,4,4,3,4,4,4,3,2,3,2,2,4,3,3,4,2,2,3,4,4,2,2,2,3,2,3,4,3,2,2, , , , , , , , , , , , , , , ,2,3,5,3,4,5,3,3,3,4,3,5,5,4,4,3,3,1,5,2,3,2,2
12892,2,201417,-9, ,4,4,3, , ,2,1,2,4,2, ,4,1,1,-9,1,6,6,6,6,6,6,3,6,6,6,6,3,6,6,6,6, , , , , , , , , , , , , , , , , , , ,5,2,2,3,2,1,3,2, ,1,1,3,4,80,90,70,50,100,2, , ,1,3,2,1,6,2,-9,6,4,40,40,2,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,6,6,6,6,3,2,5,6, , , , , , ,1,1,5,1,6,5,4,4,3,3,5,5,5,3,3,3,3,1,2,5,4,1,2
12913,1,201417,4,2,4,4,2, , ,1,1,2,3,2, ,3,2,1,1,2,-7,-7,-7,7,7,1,1,1,-7,7,4,1,7,7,1,-7,7,7,1,7,1,1,-7, , , , , , , , , , , , ,4,1,2,4,1,1,4,2, ,1,1,1,3,75,50,30,0,50,1,1,3,1,3,1,3,13,2,8,6,4,32,16,2,8,5,1,3,1,5,5,1,5,1,5,3,1,3,3,1,5,3,3,5,1,3,5,1,5,3,1,4,1,3,5,1,3,3,1,3,1,1,3,4,3,2,1,1,3,2,5,3,3,3,5, , , , , , , , , , , , , , , ,3,2,3,3,3,7,4,7,7,7,1,7,7,1,7,7,7,4,5,1,4,4,4
12917,1,201430,2,1,2,2,1,1,1,-7,4,2,4,2, ,4,3,2, ,3,-7,-7,5,5,5,-7,-7,-7,-7,6,6,-7,-7,6,6,6,5,5,1,5,5,1,1, , , , , , , , , , , , ,7,1,4,5,1,1,4,1,2,1,1,1,5,80,10,0,0,25,2, , ,1,3,-7,2,10,2,10,6,4,40,30,2,1,2,1,3,2,3,3,1,3,2,4,1,2,2,5,3,2,3,1,3,1,3,2,2,2,5,1,3,2,3,3,1,3,1,4,2,4,2,5,3,2,1,3,2,3,2,4,3,4,1,3, , , , , , , , , , , , , , , ,1,1,6,1,5,4,4,3,4,4,3,5,4,3,4,4,4,1,3,5,4,1,2
12925,1,201417,4,2,3,3,2, , ,2,2,2,3,2, ,4,3,2, ,3,2,4,2,3,4,3,1,5,2,5,3,1,2,4,4,3,2,7,2,4,3,2,-7, , , , , , , , , , , , ,5,3,3,3,1,1,3,2, ,1,1,1,4,40,50,0,0,100,1,1,3,1,2,2,1,7,4,8,3,4,38,25,2,1,4,1,4,4,5,5,1,4,2,5,4,3,2,4,1,4,4,3,4,1,2,3,2,4,4,3,5,2,2,3,1,5,2,3,5,2,2,4,2,4,1,3,5,3,2,4,1,4,1,3,7,2,7,3,2,1,5,2,1, , , , , , ,2,1,5,1,5,2,2,6,5,5,4,4,4,4,4,4,4,3,4,2,3,2,2
12935,1,201417,4,2,4,4,2, , ,2,2,2,4,2, ,3,2,1,3,1,3,6,-7,6,6,-7,-7,7,4,6,6,-7,5,6,5,-7,6,6,6,6,5,4,3, , , , , , , , , , , , ,6,2,2,5,3,1,2,2, ,2,3,1,1,50,0,90,0,90,1,1,2,2,4,3,2,13,2,10,4,4,15,20,3,2,4,1,4,1,5,5,2,4,1,5,1,4,2,4,2,2,4,3,4,2,2,4,4,4,4,2,3,4,2,4,2,4,2,2,2,4,2,4,2,4,3,4,2,2,2,4,2,4,1,4, , , , , , , , , , , , , , , ,2,2,5,2,3,6,5,2,2,2,2,6,5,2,2,2,4,4,4,2,4,2,2
12937,2,201430,1,2,3,3,2, , ,2,1,2,3,2, ,3,3,1,2,3,5,6,6,5,5,5,4,5,5,5,5,2,6,6,4,5, , , , , , , , , , , , , , , , , , , ,4,3,1,4,1,1,4,2, ,1,1,5,4,60,10,0,0,70,1,3,3,2,3,1,1,10,3,-9,6,4,38,32,2,1,3,4,3,3,5,4,4,3,2,3,3,1,1,5,3,5,5,1,5,3,3,4,3,5,5,1,4,2,2,3,3,4,1,2,4,1,1,4,4,4,1,5,4,4,2,3,3,4,1,4,7,7,7,7,7,5,4,7,7, , , , , , ,1,1,6,1,6,3,4,5,4,4,4,4,4,5,5,5,4,4,5,1,4,4,4
12949,1,201417,5,2,4,4,3, , ,1,3,2,3,2, ,3,2,2, ,2,3,3,7,3,6,3,4,7,3,6,6,1,2,6,2,6,6,6,4,5,4,3,-7, , , , , , , , , , , , ,7,2,1,4,1,1,4,2, ,1,1,1,5,50,90,10,0,95,1,1,3,2,3,1,2,10,3,9,7,4,40,30,2,1,3,2,4,4,4,4,2,4,2,4,1,3,3,4,3,4,4,1,3,1,3,2,3,4,3,2,3,2,3,4,2,4,2,3,2,2,2,3,4,3,2,2,3,3,3,4,2,3,2,4,6,6,6,6,6,6,3,7,5, , , , , , ,2,2,4,2,4,3,3,3,2,4,6,5,6,2,2,4,4,3,5,3,4,4,2
12958,1,201417,5,2,3,4,2, , ,1,2,2,4,2, ,4,1,1,2,1,-7,-7,5,6,6,5,5,6,-7,6,-7,5,-7,5,6,5,5,5,4,4,5,4,2, , , , , , , , , , , , ,4,3,2,4,2,1,4,1,3,1,1,5,4,60,80,30,10,90,2, , ,2,4,3,2,6,2,-9,7,4,40,32,2,1,3,3,2,2,4,3,4,4,3,3,2,3,3,3,3,3,2,2,3,2,4,4,3,3,3,2,4,3,4,4,3,3,4,2,4,3,4,4,3,3,4,4,3,4,4,2,3,3,3,4,6,6,6,6,6,4,4,6,4, , , , , , ,3,2,4,3,4,5,5,3,4,4,4,4,5,3,4,3,4,1,2,3,2,2,2
12964,1,201417,4,2,2,3,2, , ,2,4,2,3,2, ,4,-9,2, ,-9,1,4,6,5,6,-7,1,6,1,6,5,1,3,7,5,5,6,7,1,7,1,1,-7, , , , , , , , , , , , ,5,6,3,5,3,1,3,2, ,1,1,1,4,70,0,0,0,0,1,1,4,1,3,1,2,11,2,8,4,4,0,0,3,1,5,3,4,1,4,4,2,5,1,4,3,3,3,4,2,4,4,1,4,1,2,5,3,3,5,2,3,3,4,4,3,4,1,1,3,3,2,4,3,4,2,4,3,4,2,4,3,4,1,4,5,5,5,5,5,4,5,5,3, , , , , , ,1,1,5,1,5,4,2,6,6,5,2,2,3,5,4,5,5,1,2,4,2,2,1
12964,2,201417,4,2,2,3,2, , ,1,4,2,3,2, ,3,-9,2, ,-9,1,5,6,6,6,1,1,7,1,6,6,1,5,6,4,5,4,7,1,7,1,1,-7, , , , , , , , , , , , ,5,5,3,4,3,1,2,2, ,1,1,1,2,60,0,0,0,0,1,1,4,1,3,1,2,10,2,9,4,4,32,20,2,1,2,4,2,2,3,3,2,4,2,3,4,2,4,3,2,4,3,3,4,3,3,4,3,4,3,3,4,2,2,4,2,4,3,2,4,2,3,3,3,4,3,4,3,5,3,3,2,4,2,3,5,6,4,5,4,3,4,6,2, , , , , , ,2,2,3,2,3,4,3,5,5,3,3,3,3,5,6,6,4,2,4,3,4,3,3
12964,4,201427, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,7,1,7,1,1,-7, , , , , , , , , , , , ,7,4,2,5,1,1,2,2, ,1,1,1,2,30,0,0,0,0,2, , ,1, , ,1,3,1,-9,4,5,0,0,2,1,3,4,4,2,4,4,4,3,2,4,1,3,3,4,3,3,4,2,3,2,3,3,4,3,4,3,3,3,2,4,2,4,2,2,4,3,2,4,4,3,2,4,3,2,3,4,3,3,3,4, , , , , , , , , , , , , , , ,2,1,6,1,5,5,5,4,3,4,3,3,3,5,5,5,5,1,2,4,3,4,4
12966,2,201417,4,2,4,4,3, , ,-7,2,2,4,2, ,3,1,1,2,1,2,5,5,7,6,2,2,6,2,7,5,1,6,7,7,5,7,7,1,7,4,2,-7, , , , , , , , , , , , ,4,1,2,4,1,1,4,2, ,3,3,1,4,50,75,50,0,80,1,1,3,2,3,1,2,8,3,9,5,4,40,32,2,3,2,4,4,2,4,4,2,4,2,4,2,2,3,3,2,4,4,2,4,3,4,3,2,4,4,2,4,2,3,3,2,4,2,3,4,2,3,4,3,4,3,2,3,4,3,3,2,4,2,3, , , , , , , , , , , , , , , ,2,3,2,4,3,4,4,4,5,5,5,5,4,2,2,2,3,4,5,1,2,1,2
12968,2,201443,5,2,3,3,2, , ,-7,2,2,3,2, ,4,1,1,2,2,1,5,2,5,5,1,1,4,1,6,3,1,4,5,3,4,6,6,1,5,1,1,1, , , , , , , , , , , , ,4,4,3,4,1,1,4,2, ,3,2,3,5,50,50,50,25,50,1,1,3,2,3,1,2,8,4,-9,6,4,36,20,2,8,4,1,1,1,4,5,2,4,1,4,3,1,2,5,2,5,4,4,4,1,3,3,3,4,4,3,3,1,2,3,2,5,3,2,3,1,2,5,3,4,2,4,3,4,2,3,3,4,1,3,7,7,7,7,7,7,5,7,5, , , , , , ,2,1,5,2,5,4,5,3,2,4,2,6,3,2,4,3,4,4,5,3,2,1,1
12969,1,201417,4,2,3,4,3, , ,2,4,2,4,1,4,2,1,1,2,2,4,6,-7,7,6,-7,4,5,4,6,4,-7,6,7,6,6,5,7,1,6,5,3,-7, , , , , , , , , , , , ,4,4,1,4,1,1,4,2, ,3,1,1,5,75,15,5,0,60,1,1,3, , , ,3,12,2,-9,3,4,0,0,2,6,3,3,2,4,4,4,3,3,1,3,1,4,3,3,3,4,3,4,3,1,3,2,4,4,3,4,2,4,3,3,3,4,3,2,3,2,2,3,3,4,2,2,3,3,2,4,4,3,2,2, , , , , , , , , , , , , , , ,2,1,4,2,3,3,3,4,4,3,2,1,3,3,2,3,4,4,5,2,4,3,3
12979,2,201443, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1,1,1,5,5,4,3,1,2,1,1,2,5,2,5,4,4,5,1,3,5,3,5,5,3,5,1,3,4,1,5,1,1,4,1,3,4,3,4,3,2,2,5,2,3,2,5,1,4, , , , , , , , , , , , , , , , , , , , ,2,2,6,3,3,3,5,4,5,5,5,4,1,1,4,3,3,3
12983,1,201442,4,2,3,3,2, , ,2,2,2,3,2, ,4,3,2, ,3,3,6,5,5,6,4,3,5,4,6,4,-7,5,6,5,6,3,1,3,4,5,4,3, , , , , , , , , , , , ,5,3,2,2,2,1,2,1,2,1,2,2,4,15,95,80,1,100,1,1,3,1,3,1,2,9,3,8,4,4,38,24,2,8,4,2,3,1,4,4,2,4,2,4,3,2,2,4,2,3,3,2,3,2,3,4,2,3,4,3,3,3,3,3,2,3,2,2,3,3,3,4,3,3,2,3,3,3,2,3,2,4,2,3,7,6,5,5,5,3,3,5,5, , , , , , ,1,1,4,1,5,2,3,4,3,4,3,4,3,4,5,3,6,1,4,4,2,2,2
12991,1,201417,4,1,2,2,1,1,1,2,1,2,3,2, ,4,3,2, ,2,5,6,6,4,6,4,6,6,5,5,5,5,5,5,4,4,4,2,2,5,5,5,1, , , , , , , , , , , , ,3,3,3,3,2,1,3,2, ,1,1,4,5,90,90,20,5,98,1,1,2, , , ,2,8,4,8,4,4,32,20,2,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,6,6,6,6,6,4,5,5, , , , , , ,3,2,4,2,5,5,3,5,5,5,4,5,3,5,5,5,3,3,3,2,2,2,2
12992,1,201417,4,2,3,4,3, , ,1,1,2,4,2, ,3,2,1,3,1,-7,-7,6,6,6,-7,3,6,-7,6,6,2,-7,6,6,7,6,6,1,6,2,4,3, , , , , , , , , , , , ,6,3,4,4,2,1,3,2, ,1,1,1,4,40,30,0,0,30,2, , , , , ,2,9,3,8,6,4,32,28,2,2,3,3,4,1,4,4,2,4,2,3,3,1,3,4,2,4,4,2,4,2,4,5,2,4,3,2,4,2,3,4,2,4,3,1,3,2,2,3,3,4,2,4,3,4,3,4,4,4,2,3,6,6,6,7,5,1,6,6,1, , , , , , ,2,2,4,2,4,6,6,2,2,4,6,5,5,2,1,6,2,1,2,3,3,2,3
12997,2,201417,2,2,4,3,2, , ,-7,1,2,3,2, ,3,2,2, ,3,7,7,-7,-7,-7,-7,-7,7,7,7,-7,-7,7,7,-7,-7,7,7,1,7,2,1,-7, , , , , , , , , , , , ,7,1,3,5,1,1,2,2, ,3,1,1,3,50,100,0,0,100,1,2,2, , , ,1,13,1,6,5,1,0,0,3,3,5,1,4,1,4,5,4,4,1,5,1,1,3,4,4,4,3,3,4,1,3,1,3,5,4,2,3,1,4,4,1,4,1,3,4,1,1,4,1,4,1,1,1,3,1,4,3,3,1,3, , , , , , , , , , , , , , , ,1,1,5,1,5,5,4,4,7,7,5,7,4,4,4,4,4,4,5,1,4,1,1
13010,1,201443,4,2,5,5,3, , ,-7,3,2,3,1,5,3,1,1,2,1,4,6,5,5,7,4,5,6,4,6,6,4,5,6,6,5,3,5,4,4,5,4,2, , , , , , , , , , , , ,6,2,2,4,1,1,4,2, ,1,1,1,5,45,100,95,0,100,1,3,3,2,3,1,3,12,2,7,5,1,5,5,2,8,3,3,1,1,4,4,3,3,1,4,1,3,3,3,3,4,2,2,4,2,4,4,4,4,2,2,4,3,2,3,2,4,4,2,5,2,3,4,3,4,4,3,2,3,4,5,4,3,4,3, , , , , , , , , , , , , , , ,1,4,4,4,2,6,5,2,2,4,3,6,4,3,4,4,5,4,5,1,3,4,1
13010,2,201443,4,2,5,5,2, , ,-7,2,2,3,1,4,2,1,1,3,1,3,7,7,6,6,4,4,6,3,6,6,2,3,6,5,6,5,3,3,4,2,3,-7, , , , , , , , , , , , ,6,2,3,4,2,1,4,2, ,3,1,1,4,10,80,40,0,95,1,3,3,3,3,1,2,13,2,-9,3,1,40,0,2,3,3,4,3,4,4,4,3,2,2,4,2,2,3,2,3,4,3,4,4,2,4,2,3,4,3,3,4,3,4,2,3,4,3,4,4,2,3,2,4,4,2,2,2,3,3,4,3,3,2,2, , , , , , , , , , , , , , , ,4,4,4,4,3,3,3,5,5,5,4,5,3,3,5,5,4,2,2,3,3,2,1
13024,1,201417,-9, ,3,4,3, , ,-7,2,2,4,2, ,2,1,1,-9,1,1,1,-7,6,6,4,3,6,1,6,5,1,1,5,4,4, , , , , , , , , , , , , , , , , , , ,6,2,3,3,1,1,3,2, ,3,1,1,4,50,0,20,0,100,2, , ,1,3,1,1,11,2,-9,6,4,40,20,2,6,3,3,2,2,3,3,4,3,2,2,2,2,2,3,3,3,3,3,3,1,3,2,4,3,4,3,3,3,2,3,3,3,2,3,2,3,4,3,4,3,2,3,3,3,3,3,3,3,4,3, , , , , , , , , , , , , , , ,2,1,4,2,5,5,4,4,4,4,4,4,4,4,4,5,4,4,5,1,4,2,1
13024,2,201441,4,2,4,4,3, , ,-7,1,2,4,2, ,2,1,1,-9,1,-7,-7,5,4,5,2,1,6,-7,5,5,-7,-7,5,3,5,6,7,1,4,2,4,-7, , , , , , , , , , , , ,7,1,4,3,1,1,3,2, ,3,1,1,5,50,100,100,0,70,2, , ,1,3,1,1,12,2,-9,6,4,36,20,2,6,3,2,2,2,3,4,1,3,1,3,2,1,2,4,3,4,3,2,4,1,3,3,3,4,3,3,3,2,2,3,3,4,3,2,3,2,1,4,4,4,1,3,2,4,2,4,3,3,2,3, , , , , , , , , , , , , , , ,2,1,5,2,6,4,4,4,4,5,4,4,4,4,4,4,4,4,5,1,2,4,1
13027,1,201417,5,2,4,4,2, , ,2,2,2,3,2, ,2,3,1,2,2,3,6,7,5,6,2,3,4,3,5,7,1,5,6,5,5,6,7,1,5,2,2,-7, , , , , , , , , , , , ,5,5,3,5,2,1,3,2, ,1,4,4,4,90,0,0,0,10,1,1,3,2,4,1,2,10,2,9,6,4,32,32,3,1,2,3,4,3,3,3,4,3,2,4,1,2,4,4,5,3,2,1,2,1,4,2,5,3,2,2,2,3,4,2,4,4,4,4,2,2,3,2,4,3,4,3,1,3,2,5,5,3,4,2,6,3,4,5,2,2,5,6,1, , , , , , ,3,3,2,3,3,6,5,2,3,4,3,5,5,2,4,3,3,4,5,2,3,3,2
13027,2,201417,-9, ,4,3,2, , ,2,-9,2,3,2, ,2,3,1,2,2,6,7,7,6,6,1,4,6,5,5,6,1,3,6,4,7, , , , , , , , , , , , , , , , , , , ,2,6,1,1,1,1,4,2, ,1,1,1,1,90,10,0,0,20,1,1,3,2,1,1,2,9,2,-9,6,4,32,32,1,9,3,3,2,2,3,4,4,4,2,2,4,2,3,4,2,4,3,4,5,2,3,5,1,4,3,4,5,2,3,4,1,3,3,2,5,1,4,3,1,4,4,2,5,4,3,2,1,4,2,4,7,7,7,7,6,4,3,6,5, , , , , , ,3,3,3,3,3,4,2,5,6,4,2,4,3,5,5,5,5,3,3,5,2,2,2
13037,1,201430,4,2,4,4,3, , ,-7,2,2,4,2, ,-9,1,1,2,1,-7,5,-7,7,7,-7,-7,7,5,7,-7,-7,5,7,7,-7,7,7,1,7,1,1,1, , , , , , , , , , , , ,7,1,4,5,2,1,3,2, ,2,1,1,3,80,0,75,0,75,1,1,3,1,3,1,2,12,2,-9,3,5,0,0,3,9,3,2,2,1,4,4,3,3,2,4,1,1,3,3,5,4,3,3,4,1,3,2,5,5,4,2,3,1,3,2,3,4,3,3,2,1,2,4,4,4,2,1,1,4,2,4,5,3,2,2, , , , , , , , , , , , , , , ,1,1,5,1,6,6,5,2,2,4,4,7,6,2,1,2,1,1,2,1,4,4,3
13037,2,201448,4,2,4,4,1,1,1,2,2,2,4,2, ,-9,1,1,2,1,4,3,5,7,7,-7,-7,7,4,7,4,-7,4,7,7,6,1,7,1,7,1,1,-7, , , , , , , , , , , , ,7,2,4,5,2,1,3,2, ,3,1,1,4,50,0,50,0,50,1,1,3,2,3,1,1,12,2,-9,3,5,0,0,2,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,6,1,6,6,5,4,4,4,2,5,4,3,3,2,4,3,2,4,1,4,4
13048,1,201417,5,2,4,4,3, , ,-7,3,2,3,2, ,3,2,1,2,2,6,7,6,7,6,3,2,7,5,7,5,3,6,7,6,5,6,6,3,6,4,4,1, , , , , , , , , , , , ,6,2,3,2,1,1,3,2, ,1,1,1,4,30,80,50,0,80,1,2,2,2,3,1,2,11,2,9,6,4,40,20,2,3,4,2,3,1,4,4,3,4,1,4,2,3,1,3,3,4,4,1,4,1,3,3,3,3,4,2,3,2,3,4,3,3,2,3,4,2,2,4,4,3,2,1,1,3,2,3,2,3,1,3, , , , , , , , , , , , , , , ,1,1,5,2,5,2,2,6,6,6,2,4,3,5,5,5,5,3,3,2,3,3,2
13048,2,201417,5,2,4,4,3, , ,-7,1,2,4,2, ,4,1,1,2,2,6,6,6,6,7,1,6,7,7,7,6,1,6,7,6,6,7,7,1,7,1,1,1, , , , , , , , , , , , ,6,2,4,3,1,1,4,2, ,1,1,1,5,10,100,100,0,100,1,2,3,1,3,1,1,10,2,9,5,4,40,20,3,8,5,1,4,1,4,5,1,4,1,5,1,1,2,3,3,4,5,3,3,1,4,4,3,5,5,2,5,1,2,4,1,4,3,2,4,1,1,4,4,4,1,1,1,4,1,4,3,5,1,4,1,2,6,6,4,7,1,6,1, , , , , , ,1,2,5,1,5,4,4,4,4,4,4,4,4,3,4,5,4,4,3,2,4,3,1
13051,2,201417, , ,3,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,4,3,1,4,4,2,3,3,3,2,4,4,4,2,4,3,3,4,1,4,3,3,4,1,3,3,3,3,2,3,4,3,2,5,2,3,4,3,4,3,3,2,3,2,2,2,4,4,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
13054,1,201417,3,2,3,3,2, , ,1,2,2,3,1,3,3,1,1,1,2,5,5,6,4,5,5,5,5,4,5,5,3,6,6,5,5,4,4,4,4,4,4,-7, , , , , , , , , , , , ,5,4,5,2,2,1,3,1,2,1,1,1,4,55,60,60,0,100,1,1,2,1,3,1,2,7,3,-9,4,4,40,20,2,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,5,5,4,4,3,4,4,4, , , , , , ,1,1,4,1,4,4,2,5,4,4,2,4,4,4,4,4,4,1,2,2,3,1,1
13057,1,201417,5,2,3,2,1,2, ,2,1,2,3,2, ,1,4,2, ,2,1,1,7,6,6,-7,-7,7,1,6,6,1,1,7,1,1,6,5,5,5,6,5,3, , , , , , , , , , , , ,4,3,1,3,1,1,4,1,2,1,1,1,5,40,100,80,0,100,1,2,3,1,3,1,1,12,2,-9,6,5,30,30,2,3,2,5,1,3,4,4,4,4,2,4,3,1,1,4,2,4,4,2,4,2,3,4,3,4,4,2,3,3,2,5,2,4,2,2,3,2,2,4,2,4,2,3,4,4,2,3,4,3,2,4, , , , , , , , , , , , , , , ,2,1,5,1,5,2,3,3,4,5,3,6,4,2,3,4,4,4,5,1,2,1,1
