nohhold,nomem,inkhh,inknorm,inkrond,finsitu,inkeven,inkaank,inksec,loan1,loan2,loan3,ink25a,ink25b,ink25c,ecsit,zinvol,opzij,hoevopzy,opzij12,spaarm01,spaarm02,spaarm03,spaarm04,spaarm05,spaarm06,spaarm07,spaarm08,spaarm09,spaarm10,spaarm11,spaarm12,spaarm13,spaarm14,spaarm15,spaarm16,spaar1,spaar2,spaar3,spaar4,spaar5,spaar6,beschryf,toek01,toek02,toek03,toek04,toek05,toek06,toek07,toek08,toek09,toek10,toek11,toek12,uitgeven,plannen,periode1,bijhoud,potjes,pin1,pin2,chip1,chip2,autom,foon,intern,zon,her1,her2,her3,her4,baby,plan,uitspr,hhrela,beslis,geldh,geluk,kenltd,kenhh,kenink,kenopl,kenwerk,manuur,vrouwuur,kunde,advies,con01,con02,con03,con04,con05,con06,con07,con08,con09,con10,work01,work02,work03,work04,work05,work06,work07,work08,work09,jeugd1,jeugd2,jeugd3,jeugd4,jeugd5,jeugd6,jeugd1_x,jeugd2_x,jeugd3_x,jeugd4_x,jeugd5_x,jeugd6_x,toek01_x,toek02_x,toek03_x,toek04_x,toek05_x,toek06_x,toek07_x,toek08_x,toek09_x,toek10_x,toek11_x,toek12_x
286,1,3,2,4,4,3, , ,-7,3,2,4,2, ,3,1,2, ,2,2,5,5,5,5,4,5,5,5,6,5,3,5,6,5,5,5,4,5,5,4,4,3, , , , , , , , , , , , ,5,3,1,3,1,1,1,1,1,2,1,1,75,10,0,0,50,1,2,3, , , ,2,11,3,-9,6,2,45,40,1,1,2,4,2,3,2,3,1,1,1,3, , , , , , , , , , , , , , , ,4,5,1,1,1,4,4,4,4,5,5,5,5,5,3,5,6,5
296,1,2,2,3,4,2, , ,-7,2,2,3,2, ,3,1,2, ,2,1,1,4,6,6,1,1,4,1,7,4,1,4,7,4,2,4,7,1,4,1,1,-7, , , , , , , , , , , , ,7,2,3,5,1,2, ,2, ,2,1,1,50,0,0,0,2,1,1,3, , , ,1,11,2,-9,5,2,36,20,2,9,3,1,1,1,3,4,1,4,2,5, , , , , , , , , , , , , , , ,1,5,5,4,3,2,4,3,1,4,5,2,6,4,4,5,3,3
338,2,3,2,2,2,1,2, ,-7,4,2,3,2, ,3,3,2, ,3,3,5,7,7,7,1,1,6,3,7,6,1,7,7,6,4,6,7,1,6,1,1,1, , , , , , , , , , , , ,6,7,3,5,2,1,2,2, ,3,1,4,50,0,0,0,10,1,1,3, , , ,3,11,2,-9,3,4,36,24,2,1,4,3,3,1,4,4,2,3,1,4, , , , , , , , , , , , , , , ,4,5,1,1,4,4,5,3,4,6,6,4,6,4,4,4,5,4
339,2,3,2,3,2,2, , ,2,3,2,3,2, ,3,2,1,1,2,4,4,5,6,6,1,4,7,4,6,6,1,6,7,7,7,4,7,1,7,4,1,1, , , , , , , , , , , , ,4,4,2,3,2,1,3,2, ,1,4,4,30,10,0,0,20,1,1,3,2,3,1,2,11,2,8,5,4,40,20,2,4,3,3,3,1,3,1,3,3,3,1, , , , , , , , , , , , , , , ,3,3,5,2,4,2,4,4,4,4,4,4,4,4,4,4,4,4
349,2,5,2,4,4,3, , ,2,5,2,4,2, ,3,1,1,5,1,1,1,7,7,7,1,5,6,1,7,6,1,1,6,6,6,4,1,3,5,3,5,3, , , , , , , , , , , , ,6,1,4,5,1,1,3,2, ,3,1,5,10,100,100,20,100,1,-9,3,2,4,2,1,9,2,9,6,4,35,20,3,3,3,2,3,1,4,5,1,4,1,4,7,5,7,6,6,7,1,6,7, , , , , , ,1,3,4,4,3,2,6,5,1,1,5,5,4,5,1,2,1,1
357,2,4,2,5,5,3, , ,-7,1,2,4,1,4,3,1,1,3,1,1,1,7,5,7,1,4,7,1,7,7,1,4,7,5,7,7,3,1,6,1,1,1, , , , , , , , , , , , ,7,1,5,5,1,1,3,1,1,2,1,4,20,100,60,0,100,1,1,3,1,5,1,1,11,2,6,5,4,32,32,4,5,5,1,5,1,5,5,1,5,1,5,7,7,6,7,6,7,6,4,1, , , , , , ,4,5,1,4,3,1,7,7,1,7,6,5,6,5,1,3,5,1
365,2,4,2,3,4,3, , ,2,4,2,4,2, ,3,2,1,1,2,4,2,6,4,5,1,2,4,1,5,3,1,1,4,4,4,1,7,1,1,1,1,1, , , , , , , , , , , , ,5,3,3,3,1,1,4,1,2,3,2,5,75,2,0,0,15,2, , ,1,3,1,2,9,2,-9,2,4,50,25,2,7,4,2,3,1,4,5,3,4,2,4, , , , , , , , , , , , , , , ,3,2,3,4,1,1,6,2,3,4,4,3,5,4,4,4,3,3
371,1,5,2,4,2,2, , ,2,1,2,3,2, ,2,3,1,2,2,1,1,1,6,1,1,1,5,1,6,1,1,1,4,4,1,7,1,1,7,1,1,-7, , , , , , , , , , , , ,5,2,2,4,2,1,4,1,2,1,1,5,15,100,100,0,100,1,1,3,1,4,2,2,11,2,10,7,5,32,28,2,1,1,3,4,2,4,4,3,3,1,4, , , , , , , , , , , , , , , ,4,5,1,4,3,1,4,3,6,5,4,2,2,2,5,5,5,5
371,2,5,2,4,4,2, , ,-7,2,2,3,2, ,2,3,1,2,2,2,4,1,5,1,1,1,3,3,2,2,1,4,2,3,2,1,7,1,7,1,1,1,2,2,3,3,3,2,1,4,5,4,3,2,4,5,2,1,1,1,3,1,1,1,1,1,5,100,100,0,100,1,1,2,1,3,2,2,11,2,10,6,4,32,25,1,1,4,4,2,1,3,5,4,3,1,2,7,6,4,7,4,6,3,5,2, , , , , , ,3,3,2,4,3,3, , , , , , , , , , , , 
375,1,5,2,4,4,2, , ,2,2,2,3,2, ,3,2,2, ,2,3,4,1,4,5,1,2,5,3,5,2,1,4,5,5,2,4,2,2,5,3,1,1, , , , , , , , , , , , ,5,3,3,4,1,1,2,2, ,2,1,1,50,70,50,10,90,1,1,3,2,2,1,2,13,2,9,3,4,0,0,1,6,2,2,3,1,4,4,4,3,2,4, , , , , , , , , , , , , , , ,4,4,1,4,3,3,5,4,5,4,4,2,2,2,2,2,6,1
375,2,5,2,4,3,2, , ,2,1,2,3,1,4,4,1,1,2,1,6,5,3,7,6,1,2,5,5,6,4,1,4,6,6,3,5,5,1,5,6,1,2, , , , , , , , , , , , ,6,1,3,4,1,1,4,2, ,3,1,5,35,1,85,5,95,1,1,3,2,4,1,1,12,2,9,3,5,1,1,2,4,5,1,3,1,5,5,1,4,2,5, , , , , , , , , , , , , , , ,4,3,2,2,3,3,6,5,5,6,6,2,5,4,1,6,6,4
378,2,3,2,4,4,3, , ,2,2,2,4,2, ,3,1,1,3,1,4,4,1,7,7,1,4,5,3,7,4,1,5,7,7,5,7,6,1,7,1,1,1, , , , , , , , , , , , ,6,4,3,3,1,1,2,2, ,1,5,5,40,90,90,0,100,1,2,3, , , ,4,12,2,6,4,5,0,0,2,3,3,3,4,2,3,4,1,3,1,4, , , , , , , , , , , , , , , ,4,5,1,4,4,3,6,5,7,5,6,7,7,7,7,6,7,6
403,1,3,2,3,3,2, , ,-7,3,2,3,2, ,2,3,1,1,2,1,1,1,4,2,1,1,2,1,4,1,1,1,5,2,1,1,6,1,1,1,1,-7, , , , , , , , , , , , ,5,3,2,3,1,1,2,1,3,3,1,4,10,0,0,0,0,2, , , , , ,2,12,2,6,4,5,0,0,1,1,3,3,1,2,2,1,3,3,2,4, , , , , , , , , , , , , , , ,3,5,1,2,4,1,3,2,5,3,2,2,2,2,2,2,2,2
423,1,5,2,4,4,2, , ,2,2,2,3,2, ,3,1,1,2,1,1,2,4,4,5,1,1,4,1,6,3,1,1,6,5,4,6,4,2,6,4,1,2, , , , , , , , , , , , ,5,3,1,3,1,1,4,2, ,3,1,4,70,90,50,0,100,1,1,3,1,4,1,1,8,4,10,4,4,40,28,1,1,3,3,4,2,4,5,1,4,1,4,7,6,7,7,5,1,4,6,4, , , , , , ,3,2,4,1,2,2,4,4,5,5,5,3,5,4,5,4,3,3
434,1,4,2,2,1,1,2, ,1,5,2,2,2, ,1,3,2, ,4,1,3,2,3,6,1,1,4,1,3,2,1,5,7,2,1,1,7,1,1,1,1,1, , , , , , , , , , , , ,3,3,1,4,1,1,4,1,1,2,1,5,10,0,0,0,0,1,1,4,3,5,1,3,13,1,-9,2,5,0,0,1,1,3,2,1,2,4,4,3,3,1,5, , , , , , , , , , , , , , , ,3,5,3,4,4,4,5,1,4,5,4,2,3,3,6,3,4,6
451,1,4,2,3,3,1,2, ,2,1,2,2,2, ,3,2,2, ,4,1,1,7,7,7,1,1,5,1,7,7,1,1,5,1,5,4,4,4,4,4,4,-7, , , , , , , , , , , , ,3,1,1,5,4,1,4,2, ,3,1,1,60,0,0,0,0,2, , , , , ,2,7,2,5,4,4,36,36,2,9,1,1,3,1,4,4,3,4,1,3,1,5,5,5,5,1,1,5,1, , , , , , ,3,4,1,4,1,3,7,7,1,1,1,4,7,7,1,1,1,1
461,1,4,2,3,4,2, , ,-7,3,2,3,2, ,3,1,1,2,1,1,1,6,6,4,5,5,6,1,7,6,1,1,7,7,5,6,7,1,6,2,1,-7, , , , , , , , , , , , ,4,4,3,4,1,1,4,1,3,1,1,4,45,75,25,75,80,2, , , , , ,3,7,1,7,5,4,36,32,2,8,4,1,5,1,5,5,1,5,1,5, , , , , , , , , , , , , , , ,1,4,3,4,2,2,4,5,2,5,4,2,6,5,1,4,5,3
523,1,4,2,4,4,3, , ,2,1,2,3,2, ,3,1,1,2,1,2,7,7,7,7,7,2,4,2,6,7,4,4,7,4,5,7,4,1,7,7,4,2, , , , , , , , , , , , ,6,1,1,5,2,1,2,2, ,2,5,5,100,100,0,0,100,1,2,3,2,3,1,1,6,2,8,3,4,32,20,2,4,4,1,5,1,5,5,1,5,1,5, , , , , , , , , , , , , , , ,4,5,3,1,4,1,2,3,4,2,3,2,3,3,5,2,5,4
562,1,5,2,3,4,2, , ,-7,1,2,3,1,3,3,2,2, ,3,1,1,1,6,6,1,4,6,1,6,6,1,1,6,6,6,5,4,3,6,2,2,2, , , , , , , , , , , , ,5,2,3,5,2,1,4,1,1,1,5,5,40,0,0,0,100,1,1,3,1,3,1,2,12,2,10,6,5,0,0,2,2,5,1,4,1,4,5,1,4,1,4, , , , , , , , , , , , , , , ,4,5,4,4,3,2,5,5,3,2,5,4,6,5,2,4,3,5
571,1,4,2,4,3,2, , ,2,1,2,4,2, ,3,2,2, ,2,3,6,5,5,6,2,2,5,2,6,5,2,5,6,6,6,6,3,5,6,4,4,2, , , , , , , , , , , , ,5,2,1,3,1,1,3,2, ,1,2,5,30,100,95,10,100,1,2,3,1,4,1,1,11,2,8,6,1,32,28,4,3,4,3,2,1,4,5,1,4,1,4, , , , , , , , , , , , , , , ,3,1,3,2,2,1,5,5,3,3,4,3,5,5,3,3,2,3
601,1,5,2,4,5,3, , ,-7,2,2,4,2, ,3,1,1,3,1,1,1,6,5,4,6,5,4,1,5,6,2,1,5,4,5,5,3,2,5,4,3,3, , , , , , , , , , , , ,5,2,2,4,1,1,4,1,2,1,1,5,1,100,70,10,100,2, , ,1,4,1,1,6,2,9,6,4,38,20,4,3,5,1,4,3,4,4,2,4,1,4,6,6,6,5,6,3,2,5,7, , , , , , ,1,4,3,2,2,2,5,4,3,4,5,5,5,4,3,2,4,2
628,2,4,2,4,4,2, , ,2,3,2,3,2, ,2,1,1,2,2,6,4,3,6,7,4,4,6,6,7,6,2,5,7,4,4,6,4,2,6,4,4,-7, , , , , , , , , , , , ,5,2,3,4,1,1,2,1,1,1,3,1,50,90,90,10,100,1,-9,2,1,3,1,1,13,2,-9,4,1,0,4,2,4,4,2,5,1,5,4,3,4,2,5, , , , , , , , , , , , , , , ,4,5,2,4,1,1,4,4,6,7,6,1,4,6,4,4,6,6
633,1,5,2,5,4,2, , ,2,1,2,3,2, ,3,1,1,3,2,5,7,6,6,6,5,5,6,5,6,5,2,5,6,6,6,5,2,4,5,5,5,3, , , , , , , , , , , , ,5,1,4,3,1,1,4,2, ,1,1,5,50,25,5,1,85,1,3,2,1,4,1,2,8,4,9,6,4,50,25,4,6,2,4,4,1,4,4,2,4,1,4,7,7,6,6,6,5,5,7,5, , , , , , ,1,2,3,1,1,1,4,5,3,3,5,4,5,4,3,3,3,3
633,2,5,2,4,4,3, , ,2,3,2,4,2, ,-9,1,1,-9,1,1,5,5,5,7,1,4,5,1,5,5,1,5,5,1,4,7,1,1,5,1,1,1, , , , , , , , , , , , ,4,1,2,1,1,1,3,2, ,3,1,3,50,50,50,0,100,1,1,3,1,2,1,1,8,4,-9,6,4,40,30,1,9,3,2,3,2,3,3,2,3,2,3,7,7,7,7,4,6,4,7,4, , , , , , ,4,4,1,2,1,1,1,1,5,4,5,4,5,4,4,4,4,4
643,1,4,2,4,4,3, , ,-7,5,2,4,2, ,2,-9,1,2,2,1,1,2,5,4,1,2,5,1,5,4,1,1,5,4,4,4,1,1,5,2,5,3, , , , , , , , , , , , ,6,3,1,3,1,1,1,1,1,2,1,1,50,50,0,0,50,1,1,4, , , ,2,12,2,-9,4,4,0,0,2,3,1,3,2,2,4,4,2,3,2,5, , , , , , , , , , , , , , , ,4,3,1,2,1,2,4,3,6,5,5,3,2,2,3,6,6,6
655,1,4,2,3,3,2, , ,2,2,2,3,2, ,3,2,2, ,2,1,4,5,5,5,1,4,5,1,5,5,1,3,6,6,4,6,2,2,5,2,1,1, , , , , , , , , , , , ,5,4,1,1,1,1,3,2, ,1,1,5,55,0,0,0,40,1,1,3,2,1,1,2,11,2,7,3,4,40,30,1,8,1,4,1,4,3,3,4,2,2,3, , , , , , , , , , , , , , , ,3,5,3,4,3,3,2,2,6,2,4,2,5,4,2,5,2,5
655,2,4,2,3,2,3, , ,2,1,2,4,2, ,2,2,2, ,2,1,4,4,4,4,1,1,4,1,5,4,1,3,7,4,3,6,6,1,3,1,1,1, , , , , , , , , , , , ,5,4,1,1,1,1,3,2, ,3,1,5,30,20,0,0,20,1,1,5,1,3,1,1,11,2,7,4,5,40,24,1,9,3,3,1,3,3,3,3,3,3,3, , , , , , , , , , , , , , , ,4,5,3,4,3,4,1,1,5,1,1,1,1,1,4,5,5,5
657,1,5,2,4,5,3, , ,-7,3,2,4,2, ,-9,-9,1,-9,1,1,1,6,6,6,1,6,4,1,6,6,1,1,6,5,5,7,7,1,7,1,1,1, , , , , , , , , , , , ,5,4,4,1,1,1,3,1,1,1,1,1,80,100,50,0,100,2, , ,1,3,1,2,9,3,-9,6,4,40,24,1,1,5,1,3,1,5,5,1,5,1,5,7,6,6,7,5,5,5,7,5, , , , , , ,4,5,1,4,1,1,4,2,4,2,4,1,4,4,2,4,4,1
657,2,5,2,4,4,3, , ,-7,2,2,4,2, ,-9,1,1,3,1,1,1,7,7,7,1,7,7,1,7,7,1,1,7,5,6,7,7,1,7,4,1,1, , , , , , , , , , , , ,6,1,1,5,1,1,4,1,2,3,1,5,50,100,100,0,100,2, , ,1,3,1,1,9,3,8,6,4,40,20,2,8,1,4,3,2,3,3,3,5,3,4,7,7,6,7,7,6,6,6,4, , , , , , ,1,3,2,2,1,1,6,6,4,4,4,4,4,5,4,4,4,4
709,1,4,2,3,4,1,2, ,2,2,2,3,2, ,2,1,2, ,1,1,4,6,6,6,4,2,4,1,6,6,4,4,7,4,4,7,7,1,7,1,1,1, , , , , , , , , , , , ,6,4,2,3,1,1,4,1,3,1,1,5,75,99,75,0,100,1,1,3,2,3,1,2,12,2,9,7,5,10,8,1,8,2,4,1,1,2,2,5,4,1,2, , , , , , , , , , , , , , , ,3,5,5,2,4,3,5,4,3,1,2,1,4,5,2,2,4,1
733,1,5,-9,3,4,2, , ,2,1,2,3,2, ,2,1,1,2,2,4,6,1,5,6,1,1,7,1,7,1,1,6,7,6,4,4,7,1,1,1,1,1, , , , , , , , , , , , ,5,2,3,1,1,1,2,2, ,2,1,1,10,100,100,20,100,1,1,3,2,2,1,2,13,2,-9,5,5,0,0,2,9,3,3,3,1,4,4,3,3,3,4, , , , , , , , , , , , , , , ,4,5,1,4,2,3,4,2,5,3,4,2,2,4,4,4,3,5
733,2,4,-9,3,4,2, , ,2,1,2,3,2, ,2,2,1,2,2,1,6,1,1,7,1,1,6,1,6,1,1,6,7,5,4,1,7,1,1,1,1,-7, , , , , , , , , , , , ,5,2,3,4,1,1,4,1,1,2,1,5,5,100,100,5,100,1,1,3,2,4,1,2,13,2,-9,4,5,0,0,3,2,5,3,2,5,5,5,3,4,2,4, , , , , , , , , , , , , , , ,4,5,1,4,3,3,5,5,3,3,5,2,3,6,2,4,4,2
816,1,5,2,5,4,2, , ,2,1,2,4,2, ,4,3,1,3,2,1,4,6,4,6,1,5,7,1,5,2,2,2,4,2,2,2,1,1,3,4,4,2, , , , , , , , , , , , ,6,1,3,1,1,1,4,2, ,1,1,5,40,100,100,90,100,1,3,3,1,4,1,1,9,2,9,6,4,32,10,3,6,3,1,3,1,5,5,1,4,1,4,6,6,6,5,6,4,1,6,6, , , , , , ,4,5,1,2,4,3,4,2,4,3,2,3,4,3,3,5,5,5
816,2,5,2,4,4,2, , ,-7,4,2,3,2, ,3,1,1,-9,2,1,3,6,6,5,1,1,5,1,7,7,1,2,6,6,6,7,6,1,6,1,1,-7, , , , , , , , , , , , ,6,2,1,1,1,1,4,2, ,1,2,5,50,90,90,40,99,1,1,3,1,2,1,1,10,3,-9,4,4,32,8,1,1,2,4,1,1,2,4,2,5,2,3, , , , , , , , , , , , , , , ,4,5,1,2,4,3,1,1,5,4,5,1,5,2,5,5,5,4
819,2,4,2,4,4,3, , ,-7,2,2,4,2, ,3,1,1,2,1,4,5,4,6,6,1,7,5,5,6,6,1,4,6,6,6,7,2,1,7,1,1,2, , , , , , , , , , , , ,6,1,3,4,1,1,3,2, ,2,1,1,75,100,100,75,100,1,1,2,1,3,4,2,13,2,-9,4,5,0,0,2,6,4,1,3,1,4,4,2,4,2,5, , , , , , , , , , , , , , , ,4,5,4,4,1,1,4,4,3,5,4,4,5,4,5,5,5,4
